SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=H
AtomicNumber=1
MassNumber=1
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	8.12117e+02
1.04737e-01	8.06791e+02
1.09699e-01	8.00457e+02
1.14895e-01	7.92941e+02
1.20338e-01	7.84627e+02
1.26038e-01	7.75119e+02
1.32009e-01	7.64837e+02
1.38262e-01	7.53734e+02
1.44812e-01	7.41821e+02
1.51672e-01	7.29248e+02
1.58857e-01	7.16201e+02
1.66382e-01	7.02433e+02
1.74263e-01	6.90866e+02
1.82518e-01	6.79984e+02
1.91164e-01	6.68728e+02
2.00220e-01	6.56936e+02
2.09705e-01	6.45030e+02
2.19639e-01	6.32800e+02
2.30043e-01	6.20333e+02
2.40940e-01	6.07703e+02
2.52354e-01	5.94971e+02
2.64308e-01	5.82144e+02
2.76829e-01	5.69205e+02
2.89942e-01	5.56365e+02
3.03677e-01	5.43378e+02
3.18063e-01	5.30530e+02
3.33129e-01	5.17723e+02
3.48910e-01	5.05024e+02
3.65438e-01	4.92368e+02
3.82749e-01	4.79809e+02
4.00881e-01	4.67349e+02
4.19871e-01	4.55092e+02
4.39760e-01	4.43045e+02
4.60592e-01	4.31052e+02
4.82411e-01	4.19117e+02
5.05263e-01	4.07238e+02
5.29198e-01	3.95526e+02
5.54266e-01	3.84098e+02
5.80523e-01	3.72794e+02
6.08022e-01	3.61807e+02
6.36825e-01	3.51097e+02
6.66992e-01	3.40561e+02
6.98588e-01	3.30219e+02
7.31681e-01	3.20165e+02
7.66341e-01	3.10301e+02
8.02643e-01	3.00644e+02
8.40665e-01	2.91280e+02
8.80488e-01	2.82118e+02
9.22198e-01	2.73231e+02
9.65883e-01	2.64508e+02
1.01164e+00	2.56011e+02
1.05956e+00	2.47858e+02
1.10975e+00	2.39875e+02
1.16232e+00	2.32244e+02
1.21738e+00	2.24709e+02
1.27505e+00	2.17363e+02
1.33545e+00	2.10210e+02
1.39871e+00	2.03334e+02
1.46497e+00	1.96642e+02
1.53437e+00	1.90163e+02
1.60705e+00	1.83828e+02
