SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=He
AtomicNumber=2
MassNumber=4
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	2.05842e+03
1.04737e-01	2.08542e+03
1.09699e-01	2.11087e+03
1.14895e-01	2.13444e+03
1.20338e-01	2.15743e+03
1.26038e-01	2.17745e+03
1.32009e-01	2.19645e+03
1.38262e-01	2.21247e+03
1.44812e-01	2.22648e+03
1.51672e-01	2.23849e+03
1.58857e-01	2.24749e+03
1.66382e-01	2.25400e+03
1.74263e-01	2.25750e+03
1.82518e-01	2.25800e+03
1.91164e-01	2.25600e+03
2.00220e-01	2.25100e+03
2.09705e-01	2.24300e+03
2.19639e-01	2.23200e+03
2.30043e-01	2.21800e+03
2.40940e-01	2.20144e+03
2.52354e-01	2.18146e+03
2.64308e-01	2.15836e+03
2.76829e-01	2.13332e+03
2.89942e-01	2.10498e+03
3.03677e-01	2.06900e+03
3.18063e-01	2.03061e+03
3.33129e-01	1.99281e+03
3.48910e-01	1.95373e+03
3.65438e-01	1.91365e+03
3.82749e-01	1.87350e+03
4.00881e-01	1.83372e+03
4.19871e-01	1.79307e+03
4.39760e-01	1.74973e+03
4.60592e-01	1.70186e+03
4.82411e-01	1.65566e+03
5.05263e-01	1.60998e+03
5.29198e-01	1.56492e+03
5.54266e-01	1.52075e+03
5.80523e-01	1.47747e+03
6.08022e-01	1.43466e+03
6.36825e-01	1.39335e+03
6.66992e-01	1.35237e+03
6.98588e-01	1.31246e+03
7.31681e-01	1.27251e+03
7.66341e-01	1.23441e+03
8.02643e-01	1.19733e+03
8.40665e-01	1.16026e+03
8.80488e-01	1.12417e+03
9.22198e-01	1.08918e+03
9.65883e-01	1.05519e+03
1.01164e+00	1.02216e+03
1.05956e+00	9.89464e+02
1.10975e+00	9.57717e+02
1.16232e+00	9.26997e+02
1.21738e+00	8.97037e+02
1.27505e+00	8.67740e+02
1.33545e+00	8.39368e+02
1.39871e+00	8.11747e+02
1.46497e+00	7.84930e+02
1.53437e+00	7.58772e+02
1.60705e+00	7.33478e+02
1.68318e+00	7.08827e+02
1.76291e+00	6.84938e+02
1.84642e+00	6.61779e+02
1.93389e+00	6.39384e+02
2.02550e+00	6.17643e+02
2.12145e+00	5.96534e+02
2.22195e+00	5.76186e+02
2.32720e+00	5.56414e+02
2.43744e+00	5.37343e+02
2.55291e+00	5.19086e+02
2.67384e+00	5.01730e+02
2.80050e+00	4.85021e+02
2.93317e+00	4.68591e+02
3.07211e+00	4.52607e+02
3.21764e+00	4.37132e+02
3.37006e+00	4.22193e+02
3.52971e+00	4.07720e+02
3.69691e+00	3.93655e+02
3.87204e+00	3.80035e+02
4.05546e+00	3.66833e+02
4.24757e+00	3.54051e+02
4.44878e+00	3.41649e+02
4.65953e+00	3.29737e+02
4.88025e+00	3.18088e+02
5.11143e+00	3.06812e+02
5.35357e+00	2.96018e+02
5.60717e+00	2.85461e+02
5.87279e+00	2.75336e+02
6.15099e+00	2.65417e+02
6.44236e+00	2.55938e+02
6.74754e+00	2.46702e+02
7.06718e+00	2.37906e+02
7.40196e+00	2.29235e+02
7.75260e+00	2.20947e+02
8.11984e+00	2.12964e+02
8.50449e+00	2.05211e+02
8.90735e+00	1.97770e+02
9.32930e+00	1.90625e+02
9.77124e+00	1.83599e+02
1.02341e+01	1.76948e+02
1.07189e+01	1.70436e+02
1.12267e+01	1.64185e+02
1.17585e+01	1.58164e+02
1.23155e+01	1.52415e+02
1.28989e+01	1.46771e+02
1.35099e+01	1.41335e+02
1.41499e+01	1.36207e+02
1.48202e+01	1.31161e+02
1.55223e+01	1.26338e+02
1.62576e+01	1.21709e+02
1.70277e+01	1.17215e+02
1.78343e+01	1.12861e+02
1.86791e+01	1.08705e+02
1.95640e+01	1.04745e+02
2.04907e+01	1.00827e+02
2.14614e+01	9.71443e+01
2.24781e+01	9.35628e+01
2.35429e+01	9.01179e+01
2.46581e+01	8.68020e+01
2.58262e+01	8.36025e+01
2.70496e+01	8.05265e+01
2.83310e+01	7.75913e+01
2.96730e+01	7.47530e+01
3.10787e+01	7.19922e+01
3.25509e+01	6.93555e+01
3.40929e+01	6.68339e+01
3.57079e+01	6.43971e+01
3.73994e+01	6.20415e+01
3.91710e+01	5.97942e+01
4.10266e+01	5.76061e+01
4.29700e+01	5.55417e+01
4.50056e+01	5.35221e+01
4.71375e+01	5.15854e+01
4.93705e+01	4.97279e+01
5.17092e+01	4.79351e+01
5.41587e+01	4.62283e+01
