SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=Li
AtomicNumber=3
MassNumber=7
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	2.74600e+03
1.04737e-01	2.79537e+03
1.09699e-01	2.84435e+03
1.14895e-01	2.89240e+03
1.20338e-01	2.93942e+03
1.26038e-01	2.98516e+03
1.32009e-01	3.02948e+03
1.38262e-01	3.07222e+03
1.44812e-01	3.11233e+03
1.51672e-01	3.15142e+03
1.58857e-01	3.18869e+03
1.66382e-01	3.22256e+03
1.74263e-01	3.25475e+03
1.82518e-01	3.28385e+03
1.91164e-01	3.31061e+03
2.00220e-01	3.33391e+03
2.09705e-01	3.35482e+03
2.19639e-01	3.37175e+03
2.30043e-01	3.38680e+03
2.40940e-01	3.39700e+03
2.52354e-01	3.40488e+03
2.64308e-01	3.40888e+03
2.76829e-01	3.40815e+03
2.89942e-01	3.40413e+03
3.03677e-01	3.38516e+03
3.18063e-01	3.36608e+03
3.33129e-01	3.34513e+03
3.48910e-01	3.32301e+03
3.65438e-01	3.30101e+03
3.82749e-01	3.27809e+03
4.00881e-01	3.25411e+03
4.19871e-01	3.23102e+03
4.39760e-01	3.19991e+03
4.60592e-01	3.16189e+03
4.82411e-01	3.12387e+03
5.05263e-01	3.08481e+03
5.29198e-01	3.04483e+03
5.54266e-01	3.00385e+03
5.80523e-01	2.96281e+03
6.08022e-01	2.91984e+03
6.36825e-01	2.87582e+03
6.66992e-01	2.82873e+03
6.98588e-01	2.77947e+03
7.31681e-01	2.72543e+03
7.66341e-01	2.66843e+03
8.02643e-01	2.60833e+03
8.40665e-01	2.54617e+03
8.80488e-01	2.48112e+03
9.22198e-01	2.41427e+03
9.65883e-01	2.34718e+03
1.01164e+00	2.27981e+03
1.05956e+00	2.21276e+03
1.10975e+00	2.14559e+03
1.16232e+00	2.07969e+03
1.21738e+00	2.01452e+03
1.27505e+00	1.95048e+03
1.33545e+00	1.88781e+03
1.39871e+00	1.82634e+03
1.46497e+00	1.76676e+03
1.53437e+00	1.70498e+03
1.60705e+00	1.64549e+03
1.68318e+00	1.58708e+03
1.76291e+00	1.53314e+03
1.84642e+00	1.48103e+03
1.93389e+00	1.43018e+03
2.02550e+00	1.38091e+03
2.12145e+00	1.33419e+03
2.22195e+00	1.28781e+03
2.32720e+00	1.24393e+03
2.43744e+00	1.20144e+03
2.55291e+00	1.16044e+03
2.67384e+00	1.12241e+03
2.80050e+00	1.08447e+03
2.93317e+00	1.04836e+03
3.07211e+00	1.01320e+03
3.21764e+00	9.78659e+02
3.37006e+00	9.45169e+02
3.52971e+00	9.12992e+02
3.69691e+00	8.81717e+02
3.87204e+00	8.51549e+02
4.05546e+00	8.22100e+02
4.24757e+00	7.93507e+02
4.44878e+00	7.65975e+02
4.65953e+00	7.39214e+02
4.88025e+00	7.13377e+02
5.11143e+00	6.88249e+02
5.35357e+00	6.64042e+02
5.60717e+00	6.40521e+02
5.87279e+00	6.17838e+02
6.15099e+00	5.95878e+02
6.44236e+00	5.74604e+02
6.74754e+00	5.54076e+02
7.06718e+00	5.34161e+02
7.40196e+00	5.14983e+02
7.75260e+00	4.96412e+02
8.11984e+00	4.78565e+02
8.50449e+00	4.61175e+02
8.90735e+00	4.44496e+02
9.32930e+00	4.28350e+02
9.77124e+00	4.12777e+02
1.02341e+01	3.97737e+02
1.07189e+01	3.83194e+02
1.12267e+01	3.69194e+02
1.17585e+01	3.55709e+02
1.23155e+01	3.42718e+02
1.28989e+01	3.30129e+02
1.35099e+01	3.18050e+02
1.41499e+01	3.06398e+02
1.48202e+01	2.95143e+02
1.55223e+01	2.84360e+02
1.62576e+01	2.73874e+02
1.70277e+01	2.63689e+02
1.78343e+01	2.53991e+02
1.86791e+01	2.44645e+02
1.95640e+01	2.35674e+02
2.04907e+01	2.27037e+02
2.14614e+01	2.18627e+02
2.24781e+01	2.10667e+02
2.35429e+01	2.02879e+02
2.46581e+01	1.95399e+02
2.58262e+01	1.88303e+02
2.70496e+01	1.81356e+02
2.83310e+01	1.74684e+02
2.96730e+01	1.68357e+02
3.10787e+01	1.62171e+02
3.25509e+01	1.56215e+02
3.40929e+01	1.50470e+02
3.57079e+01	1.45046e+02
3.73994e+01	1.39753e+02
3.91710e+01	1.34633e+02
4.10266e+01	1.29759e+02
4.29700e+01	1.25063e+02
4.50056e+01	1.20578e+02
4.71375e+01	1.16196e+02
4.93705e+01	1.12004e+02
5.17092e+01	1.08013e+02
5.41587e+01	1.04105e+02
5.67243e+01	1.00404e+02
5.94113e+01	9.68443e+01
6.22257e+01	9.33994e+01
6.51734e+01	9.00803e+01
6.82607e+01	8.69043e+01
7.14943e+01	8.38394e+01
7.48810e+01	8.08973e+01
7.84282e+01	7.80555e+01
8.21434e+01	7.53349e+01
8.60346e+01	7.27129e+01
9.01102e+01	7.02042e+01
9.43788e+01	6.78104e+01
9.88496e+01	6.55178e+01
1.03532e+02	6.33111e+01
1.08437e+02	6.11963e+01
1.13573e+02	5.91638e+01
1.18953e+02	5.72161e+01
1.24588e+02	5.53451e+01
1.30490e+02	5.35506e+01
1.36672e+02	5.18217e+01
1.43146e+02	5.01783e+01
1.49927e+02	4.86030e+01
1.57029e+02	4.70642e+01
1.64468e+02	4.56125e+01
1.72259e+02	4.42134e+01
1.80419e+02	4.28843e+01
1.88965e+02	4.16044e+01
1.97917e+02	4.03762e+01
2.07292e+02	3.92027e+01
2.17112e+02	3.80761e+01
2.27397e+02	3.69988e+01
2.38169e+02	3.59701e+01
2.49451e+02	3.49785e+01
2.61268e+02	3.40368e+01
2.73644e+02	3.31411e+01
2.86607e+02	3.22793e+01
3.00184e+02	3.14613e+01
3.14404e+02	3.06691e+01
3.29297e+02	2.99212e+01
3.44896e+02	2.92010e+01
3.61234e+02	2.85266e+01
3.78346e+02	2.78676e+01
3.96269e+02	2.72539e+01
4.15040e+02	2.66602e+01
4.34701e+02	2.60949e+01
4.55294e+02	2.55633e+01
4.76861e+02	2.50515e+01
4.99451e+02	2.45771e+01
5.23110e+02	2.41196e+01
5.47890e+02	2.36775e+01
5.73844e+02	2.32648e+01
6.01028e+02	2.28782e+01
6.29499e+02	2.25099e+01
6.59319e+02	2.21660e+01
6.90551e+02	2.18401e+01
7.23263e+02	2.15306e+01
7.57525e+02	2.12393e+01
7.93410e+02	2.09659e+01
8.30994e+02	2.07115e+01
8.70359e+02	2.04746e+01
9.11589e+02	2.02464e+01
9.54772e+02	2.00364e+01
1.00000e+03	1.98243e+01
