SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=Be
AtomicNumber=4
MassNumber=9
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	4.65565e+03
1.04737e-01	4.74573e+03
1.09699e-01	4.83365e+03
1.14895e-01	4.91843e+03
1.20338e-01	4.99951e+03
1.26038e-01	5.07751e+03
1.32009e-01	5.15125e+03
1.38262e-01	5.21973e+03
1.44812e-01	5.28307e+03
1.51672e-01	5.34089e+03
1.58857e-01	5.39232e+03
1.66382e-01	5.43785e+03
1.74263e-01	5.47725e+03
1.82518e-01	5.50872e+03
1.91164e-01	5.53370e+03
2.00220e-01	5.55168e+03
2.09705e-01	5.56158e+03
2.19639e-01	5.56432e+03
2.30043e-01	5.56000e+03
2.40940e-01	5.54732e+03
2.52354e-01	5.52729e+03
2.64308e-01	5.49967e+03
2.76829e-01	5.46462e+03
2.89942e-01	5.42114e+03
3.03677e-01	5.35595e+03
3.18063e-01	5.28767e+03
3.33129e-01	5.21767e+03
3.48910e-01	5.14678e+03
3.65438e-01	5.07580e+03
3.82749e-01	5.00471e+03
4.00881e-01	4.93566e+03
4.19871e-01	4.86682e+03
4.39760e-01	4.78990e+03
4.60592e-01	4.70394e+03
4.82411e-01	4.62052e+03
5.05263e-01	4.53849e+03
5.29198e-01	4.45759e+03
5.54266e-01	4.37671e+03
5.80523e-01	4.29747e+03
6.08022e-01	4.21850e+03
6.36825e-01	4.14023e+03
6.66992e-01	4.06232e+03
6.98588e-01	3.98528e+03
7.31681e-01	3.90823e+03
7.66341e-01	3.83113e+03
8.02643e-01	3.75509e+03
8.40665e-01	3.67795e+03
8.80488e-01	3.60297e+03
9.22198e-01	3.52681e+03
9.65883e-01	3.45170e+03
1.01164e+00	3.37666e+03
1.05956e+00	3.30267e+03
1.10975e+00	3.22940e+03
1.16232e+00	3.15732e+03
1.21738e+00	3.08583e+03
1.27505e+00	3.01387e+03
1.33545e+00	2.94229e+03
1.39871e+00	2.87227e+03
1.46497e+00	2.80574e+03
1.53437e+00	2.74093e+03
1.60705e+00	2.67502e+03
1.68318e+00	2.61009e+03
1.76291e+00	2.54358e+03
1.84642e+00	2.47797e+03
1.93389e+00	2.40751e+03
2.02550e+00	2.33458e+03
2.12145e+00	2.26349e+03
2.22195e+00	2.19503e+03
2.32720e+00	2.12815e+03
2.43744e+00	2.06186e+03
2.55291e+00	1.99836e+03
2.67384e+00	1.93714e+03
2.80050e+00	1.87707e+03
2.93317e+00	1.81810e+03
3.07211e+00	1.76101e+03
3.21764e+00	1.70383e+03
3.37006e+00	1.64869e+03
3.52971e+00	1.59574e+03
3.69691e+00	1.54248e+03
3.87204e+00	1.49148e+03
4.05546e+00	1.44134e+03
4.24757e+00	1.39300e+03
4.44878e+00	1.34590e+03
4.65953e+00	1.29966e+03
4.88025e+00	1.25479e+03
5.11143e+00	1.21158e+03
