SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=B
AtomicNumber=5
MassNumber=10
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	5.92202e+03
1.04737e-01	6.04803e+03
1.09699e-01	6.16981e+03
1.14895e-01	6.28935e+03
1.20338e-01	6.40587e+03
1.26038e-01	6.51703e+03
1.32009e-01	6.62259e+03
1.38262e-01	6.72262e+03
1.44812e-01	6.81649e+03
1.51672e-01	6.90435e+03
1.58857e-01	6.98428e+03
1.66382e-01	7.05638e+03
1.74263e-01	7.12031e+03
1.82518e-01	7.17591e+03
1.91164e-01	7.22325e+03
2.00220e-01	7.26063e+03
2.09705e-01	7.28925e+03
2.19639e-01	7.30800e+03
2.30043e-01	7.31773e+03
2.40940e-01	7.31700e+03
2.52354e-01	7.30700e+03
2.64308e-01	7.28736e+03
2.76829e-01	7.25761e+03
2.89942e-01	7.21604e+03
3.03677e-01	7.14615e+03
3.18063e-01	7.07313e+03
3.33129e-01	6.99706e+03
3.48910e-01	6.91906e+03
3.65438e-01	6.84184e+03
3.82749e-01	6.76428e+03
4.00881e-01	6.68780e+03
4.19871e-01	6.61268e+03
4.39760e-01	6.52678e+03
4.60592e-01	6.42806e+03
4.82411e-01	6.33169e+03
5.05263e-01	6.23770e+03
5.29198e-01	6.14378e+03
5.54266e-01	6.05172e+03
5.80523e-01	5.95942e+03
6.08022e-01	5.86760e+03
6.36825e-01	5.77644e+03
6.66992e-01	5.68543e+03
6.98588e-01	5.59430e+03
7.31681e-01	5.50219e+03
7.66341e-01	5.41417e+03
8.02643e-01	5.32704e+03
8.40665e-01	5.23888e+03
8.80488e-01	5.14894e+03
9.22198e-01	5.05781e+03
9.65883e-01	4.96573e+03
1.01164e+00	4.87409e+03
1.05956e+00	4.78012e+03
1.10975e+00	4.68469e+03
1.16232e+00	4.58862e+03
1.21738e+00	4.49505e+03
1.27505e+00	4.39783e+03
1.33545e+00	4.30370e+03
1.39871e+00	4.20713e+03
1.46497e+00	4.12092e+03
1.53437e+00	4.03431e+03
1.60705e+00	3.94759e+03
1.68318e+00	3.86130e+03
1.76291e+00	3.77451e+03
1.84642e+00	3.68755e+03
1.93389e+00	3.60089e+03
2.02550e+00	3.51288e+03
2.12145e+00	3.42580e+03
2.22195e+00	3.33765e+03
2.32720e+00	3.24932e+03
2.43744e+00	3.15243e+03
2.55291e+00	3.05779e+03
2.67384e+00	2.96593e+03
2.80050e+00	2.87864e+03
2.93317e+00	2.79152e+03
3.07211e+00	2.70582e+03
3.21764e+00	2.62037e+03
3.37006e+00	2.53814e+03
3.52971e+00	2.45677e+03
3.69691e+00	2.37758e+03
3.87204e+00	2.29948e+03
4.05546e+00	2.22347e+03
4.24757e+00	2.14898e+03
4.44878e+00	2.07682e+03
4.65953e+00	2.00682e+03
4.88025e+00	1.93852e+03
5.11143e+00	1.87253e+03
5.35357e+00	1.80900e+03
5.60717e+00	1.74682e+03
5.87279e+00	1.68692e+03
6.15099e+00	1.62870e+03
6.44236e+00	1.57156e+03
6.74754e+00	1.51736e+03
7.06718e+00	1.46411e+03
7.40196e+00	1.41286e+03
7.75260e+00	1.36266e+03
8.11984e+00	1.31438e+03
8.50449e+00	1.26807e+03
8.90735e+00	1.22292e+03
9.32930e+00	1.17958e+03
9.77124e+00	1.13729e+03
1.02341e+01	1.09626e+03
1.07189e+01	1.05715e+03
1.12267e+01	1.01888e+03
1.17585e+01	9.81820e+02
1.23155e+01	9.46671e+02
1.28989e+01	9.12298e+02
1.35099e+01	8.79316e+02
1.41499e+01	8.47130e+02
1.48202e+01	8.16368e+02
1.55223e+01	7.86407e+02
1.62576e+01	7.57756e+02
1.70277e+01	7.30208e+02
1.78343e+01	7.03573e+02
1.86791e+01	6.77628e+02
1.95640e+01	6.52960e+02
2.04907e+01	6.29091e+02
2.14614e+01	6.06060e+02
2.24781e+01	5.83957e+02
2.35429e+01	5.62534e+02
2.46581e+01	5.41850e+02
2.58262e+01	5.22121e+02
2.70496e+01	5.03077e+02
2.83310e+01	4.84648e+02
2.96730e+01	4.66982e+02
3.10787e+01	4.49925e+02
3.25509e+01	4.33554e+02
3.40929e+01	4.17784e+02
3.57079e+01	4.02542e+02
3.73994e+01	3.87958e+02
3.91710e+01	3.73886e+02
4.10266e+01	3.60372e+02
4.29700e+01	3.47373e+02
