SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=C
AtomicNumber=6
MassNumber=12
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	7.11900e+03
1.04737e-01	7.27925e+03
1.09699e-01	7.43711e+03
1.14895e-01	7.59022e+03
1.20338e-01	7.74011e+03
1.26038e-01	7.88592e+03
1.32009e-01	8.02494e+03
1.38262e-01	8.15801e+03
1.44812e-01	8.28444e+03
1.51672e-01	8.40347e+03
1.58857e-01	8.51373e+03
1.66382e-01	8.61390e+03
1.74263e-01	8.70616e+03
1.82518e-01	8.78748e+03
1.91164e-01	8.85918e+03
2.00220e-01	8.91932e+03
2.09705e-01	8.96923e+03
2.19639e-01	9.00776e+03
2.30043e-01	9.03444e+03
2.40940e-01	9.05000e+03
2.52354e-01	9.05300e+03
2.64308e-01	9.04454e+03
2.76829e-01	9.02456e+03
2.89942e-01	8.99056e+03
3.03677e-01	8.92117e+03
3.18063e-01	8.84610e+03
3.33129e-01	8.76848e+03
3.48910e-01	8.68931e+03
3.65438e-01	8.60991e+03
3.82749e-01	8.53100e+03
4.00881e-01	8.45326e+03
4.19871e-01	8.37671e+03
4.39760e-01	8.28571e+03
4.60592e-01	8.17953e+03
4.82411e-01	8.07602e+03
5.05263e-01	7.97414e+03
5.29198e-01	7.87348e+03
5.54266e-01	7.77600e+03
5.80523e-01	7.68787e+03
6.08022e-01	7.59887e+03
6.36825e-01	7.50878e+03
6.66992e-01	7.41613e+03
6.98588e-01	7.32198e+03
7.31681e-01	7.22570e+03
7.66341e-01	7.12765e+03
8.02643e-01	7.02746e+03
8.40665e-01	6.92540e+03
8.80488e-01	6.82024e+03
9.22198e-01	6.71309e+03
9.65883e-01	6.60588e+03
1.01164e+00	6.49607e+03
1.05956e+00	6.38306e+03
1.10975e+00	6.26959e+03
1.16232e+00	6.15443e+03
1.21738e+00	6.03833e+03
1.27505e+00	5.92264e+03
1.33545e+00	5.80380e+03
1.39871e+00	5.68595e+03
1.46497e+00	5.57905e+03
1.53437e+00	5.47391e+03
1.60705e+00	5.36664e+03
1.68318e+00	5.25922e+03
1.76291e+00	5.15150e+03
1.84642e+00	5.04229e+03
1.93389e+00	4.93333e+03
2.02550e+00	4.82540e+03
2.12145e+00	4.71636e+03
2.22195e+00	4.60766e+03
2.32720e+00	4.49945e+03
2.43744e+00	4.39020e+03
2.55291e+00	4.28207e+03
2.67384e+00	4.17679e+03
2.80050e+00	4.06897e+03
2.93317e+00	3.95113e+03
3.07211e+00	3.83288e+03
3.21764e+00	3.71610e+03
3.37006e+00	3.60255e+03
3.52971e+00	3.49104e+03
3.69691e+00	3.38011e+03
3.87204e+00	3.27178e+03
4.05546e+00	3.16372e+03
4.24757e+00	3.05789e+03
4.44878e+00	2.95506e+03
4.65953e+00	2.85583e+03
4.88025e+00	2.75948e+03
5.11143e+00	2.66602e+03
5.35357e+00	2.57580e+03
5.60717e+00	2.48841e+03
5.87279e+00	2.40318e+03
6.15099e+00	2.32075e+03
6.44236e+00	2.24152e+03
6.74754e+00	2.16423e+03
7.06718e+00	2.08898e+03
7.40196e+00	2.01672e+03
7.75260e+00	1.94631e+03
8.11984e+00	1.87858e+03
8.50449e+00	1.81295e+03
8.90735e+00	1.74912e+03
9.32930e+00	1.68664e+03
9.77124e+00	1.62745e+03
1.02341e+01	1.56891e+03
1.07189e+01	1.51373e+03
1.12267e+01	1.45980e+03
1.17585e+01	1.40724e+03
1.23155e+01	1.35660e+03
1.28989e+01	1.30807e+03
1.35099e+01	1.26108e+03
1.41499e+01	1.21551e+03
1.48202e+01	1.17135e+03
1.55223e+01	1.12873e+03
1.62576e+01	1.08846e+03
1.70277e+01	1.04807e+03
1.78343e+01	1.01075e+03
1.86791e+01	9.73701e+02
1.95640e+01	9.38202e+02
2.04907e+01	9.04033e+02
2.14614e+01	8.71091e+02
2.24781e+01	8.39239e+02
2.35429e+01	8.08771e+02
2.46581e+01	7.79305e+02
2.58262e+01	7.50871e+02
2.70496e+01	7.23475e+02
2.83310e+01	6.97041e+02
2.96730e+01	6.71781e+02
3.10787e+01	6.47303e+02
3.25509e+01	6.23776e+02
3.40929e+01	6.01083e+02
3.57079e+01	5.79306e+02
3.73994e+01	5.58308e+02
3.91710e+01	5.38152e+02
4.10266e+01	5.18724e+02
4.29700e+01	4.99923e+02
