SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=N
AtomicNumber=7
MassNumber=14
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	8.24960e+03
1.04737e-01	8.44551e+03
1.09699e-01	8.63607e+03
1.14895e-01	8.82577e+03
1.20338e-01	9.01020e+03
1.26038e-01	9.18885e+03
1.32009e-01	9.36182e+03
1.38262e-01	9.52877e+03
1.44812e-01	9.68626e+03
1.51672e-01	9.83699e+03
1.58857e-01	9.97789e+03
1.66382e-01	1.01100e+04
1.74263e-01	1.02300e+04
1.82518e-01	1.03400e+04
1.91164e-01	1.04341e+04
2.00220e-01	1.05200e+04
2.09705e-01	1.05944e+04
2.19639e-01	1.06500e+04
2.30043e-01	1.07000e+04
2.40940e-01	1.07300e+04
2.52354e-01	1.07500e+04
2.64308e-01	1.07600e+04
2.76829e-01	1.07500e+04
2.89942e-01	1.07300e+04
3.03677e-01	1.06600e+04
3.18063e-01	1.05900e+04
3.33129e-01	1.05143e+04
3.48910e-01	1.04343e+04
3.65438e-01	1.03600e+04
3.82749e-01	1.02800e+04
4.00881e-01	1.02043e+04
4.19871e-01	1.01343e+04
4.39760e-01	1.00600e+04
4.60592e-01	9.96497e+03
4.82411e-01	9.87399e+03
5.05263e-01	9.78388e+03
5.29198e-01	9.69274e+03
5.54266e-01	9.60164e+03
5.80523e-01	9.50864e+03
6.08022e-01	9.41455e+03
6.36825e-01	9.31763e+03
6.66992e-01	9.21847e+03
6.98588e-01	9.11683e+03
7.31681e-01	9.01227e+03
7.66341e-01	8.90577e+03
8.02643e-01	8.79546e+03
8.40665e-01	8.68262e+03
8.80488e-01	8.56709e+03
9.22198e-01	8.44749e+03
9.65883e-01	8.32593e+03
1.01164e+00	8.20092e+03
1.05956e+00	8.07468e+03
1.10975e+00	7.94676e+03
1.16232e+00	7.81378e+03
1.21738e+00	7.68051e+03
1.27505e+00	7.54575e+03
1.33545e+00	7.40793e+03
1.39871e+00	7.26959e+03
1.46497e+00	7.14859e+03
1.53437e+00	7.02548e+03
1.60705e+00	6.90057e+03
1.68318e+00	6.77504e+03
1.76291e+00	6.64638e+03
1.84642e+00	6.51744e+03
1.93389e+00	6.38781e+03
2.02550e+00	6.25767e+03
2.12145e+00	6.12822e+03
2.22195e+00	5.99677e+03
2.32720e+00	5.86660e+03
2.43744e+00	5.73631e+03
2.55291e+00	5.60856e+03
2.67384e+00	5.48276e+03
2.80050e+00	5.35650e+03
2.93317e+00	5.22867e+03
3.07211e+00	5.09952e+03
3.21764e+00	4.96959e+03
3.37006e+00	4.83258e+03
3.52971e+00	4.68789e+03
3.69691e+00	4.54381e+03
3.87204e+00	4.40240e+03
4.05546e+00	4.25992e+03
4.24757e+00	4.11872e+03
4.44878e+00	3.98190e+03
4.65953e+00	3.84799e+03
4.88025e+00	3.71830e+03
5.11143e+00	3.59194e+03
5.35357e+00	3.47043e+03
5.60717e+00	3.35208e+03
5.87279e+00	3.23780e+03
6.15099e+00	3.12738e+03
6.44236e+00	3.01988e+03
6.74754e+00	2.91659e+03
7.06718e+00	2.81642e+03
7.40196e+00	2.71850e+03
7.75260e+00	2.62533e+03
8.11984e+00	2.53362e+03
8.50449e+00	2.44648e+03
8.90735e+00	2.36116e+03
9.32930e+00	2.27881e+03
9.77124e+00	2.19891e+03
1.02341e+01	2.12189e+03
1.07189e+01	2.04602e+03
1.12267e+01	1.97392e+03
1.17585e+01	1.90445e+03
1.23155e+01	1.83647e+03
1.28989e+01	1.77105e+03
1.35099e+01	1.70772e+03
1.41499e+01	1.64646e+03
1.48202e+01	1.58777e+03
1.55223e+01	1.53064e+03
1.62576e+01	1.47507e+03
1.70277e+01	1.42230e+03
1.78343e+01	1.37082e+03
1.86791e+01	1.32138e+03
1.95640e+01	1.27284e+03
2.04907e+01	1.22743e+03
2.14614e+01	1.18278e+03
2.24781e+01	1.13960e+03
2.35429e+01	1.09828e+03
2.46581e+01	1.05880e+03
2.58262e+01	1.02023e+03
2.70496e+01	9.83017e+02
2.83310e+01	9.47351e+02
2.96730e+01	9.12951e+02
3.10787e+01	8.79932e+02
3.25509e+01	8.48031e+02
3.40929e+01	8.17352e+02
3.57079e+01	7.87750e+02
3.73994e+01	7.59339e+02
3.91710e+01	7.31870e+02
4.10266e+01	7.05555e+02
4.29700e+01	6.80081e+02
4.50056e+01	6.55652e+02
4.71375e+01	6.32168e+02
4.93705e+01	6.09490e+02
5.17092e+01	5.87741e+02
5.41587e+01	5.66791e+02
5.67243e+01	5.46643e+02
5.94113e+01	5.27195e+02
6.22257e+01	5.08602e+02
6.51734e+01	4.90610e+02
6.82607e+01	4.73298e+02
7.14943e+01	4.56776e+02
7.48810e+01	4.40683e+02
7.84282e+01	4.25406e+02
8.21434e+01	4.10431e+02
8.60346e+01	3.96433e+02
9.01102e+01	3.82675e+02
9.43788e+01	3.69721e+02
9.88496e+01	3.57190e+02
1.03532e+02	3.45265e+02
1.08437e+02	3.33711e+02
1.13573e+02	3.22725e+02
1.18953e+02	3.12111e+02
1.24588e+02	3.01898e+02
1.30490e+02	2.92117e+02
1.36672e+02	2.82718e+02
1.43146e+02	2.73752e+02
1.49927e+02	2.65185e+02
1.57029e+02	2.56889e+02
1.64468e+02	2.48930e+02
1.72259e+02	2.41323e+02
1.80419e+02	2.34106e+02
1.88965e+02	2.27060e+02
1.97917e+02	2.20428e+02
2.07292e+02	2.14014e+02
2.17112e+02	2.07847e+02
2.27397e+02	2.02089e+02
2.38169e+02	1.96373e+02
2.49451e+02	1.91060e+02
2.61268e+02	1.85936e+02
2.73644e+02	1.81005e+02
2.86607e+02	1.76314e+02
3.00184e+02	1.71810e+02
3.14404e+02	1.67508e+02
3.29297e+02	1.63477e+02
3.44896e+02	1.59516e+02
3.61234e+02	1.55838e+02
3.78346e+02	1.52275e+02
3.96269e+02	1.48923e+02
4.15040e+02	1.45679e+02
4.34701e+02	1.42607e+02
4.55294e+02	1.39715e+02
4.76861e+02	1.36896e+02
4.99451e+02	1.34321e+02
5.23110e+02	1.31832e+02
5.47890e+02	1.29430e+02
5.73844e+02	1.27214e+02
6.01028e+02	1.25081e+02
6.29499e+02	1.23034e+02
6.59319e+02	1.21171e+02
6.90551e+02	1.19391e+02
7.23263e+02	1.17710e+02
7.57525e+02	1.16074e+02
7.93410e+02	1.14600e+02
8.30994e+02	1.13212e+02
8.70359e+02	1.11900e+02
9.11589e+02	1.10700e+02
9.54772e+02	1.09500e+02
1.00000e+03	1.08400e+02
