SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=O
AtomicNumber=8
MassNumber=16
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	9.31558e+03
1.04737e-01	9.54410e+03
1.09699e-01	9.76989e+03
1.14895e-01	9.99217e+03
1.20338e-01	1.02136e+04
1.26038e-01	1.04233e+04
1.32009e-01	1.06329e+04
1.38262e-01	1.08330e+04
1.44812e-01	1.10238e+04
1.51672e-01	1.12033e+04
1.58857e-01	1.13732e+04
1.66382e-01	1.15332e+04
1.74263e-01	1.16833e+04
1.82518e-01	1.18234e+04
1.91164e-01	1.19433e+04
2.00220e-01	1.20600e+04
2.09705e-01	1.21536e+04
2.19639e-01	1.22400e+04
2.30043e-01	1.23100e+04
2.40940e-01	1.23600e+04
2.52354e-01	1.24000e+04
2.64308e-01	1.24200e+04
2.76829e-01	1.24300e+04
2.89942e-01	1.24200e+04
3.03677e-01	1.23600e+04
3.18063e-01	1.22900e+04
3.33129e-01	1.22200e+04
3.48910e-01	1.21700e+04
3.65438e-01	1.21200e+04
3.82749e-01	1.20700e+04
4.00881e-01	1.20200e+04
4.19871e-01	1.19754e+04
4.39760e-01	1.19050e+04
4.60592e-01	1.18100e+04
4.82411e-01	1.17200e+04
5.05263e-01	1.16300e+04
5.29198e-01	1.15348e+04
5.54266e-01	1.14446e+04
5.80523e-01	1.13500e+04
6.08022e-01	1.12500e+04
6.36825e-01	1.11500e+04
6.66992e-01	1.10500e+04
6.98588e-01	1.09454e+04
7.31681e-01	1.08356e+04
7.66341e-01	1.07200e+04
8.02643e-01	1.06039e+04
8.40665e-01	1.04834e+04
8.80488e-01	1.03600e+04
9.22198e-01	1.02332e+04
9.65883e-01	1.01000e+04
1.01164e+00	9.96356e+03
1.05956e+00	9.82549e+03
1.10975e+00	9.68292e+03
1.16232e+00	9.53775e+03
1.21738e+00	9.38929e+03
1.27505e+00	9.23935e+03
1.33545e+00	9.08553e+03
1.39871e+00	8.92939e+03
1.46497e+00	8.79505e+03
1.53437e+00	8.66005e+03
1.60705e+00	8.52171e+03
1.68318e+00	8.38088e+03
1.76291e+00	8.23627e+03
1.84642e+00	8.09066e+03
1.93389e+00	7.94276e+03
2.02550e+00	7.79223e+03
2.12145e+00	7.64078e+03
2.22195e+00	7.49001e+03
2.32720e+00	7.33866e+03
2.43744e+00	7.18646e+03
2.55291e+00	7.03801e+03
2.67384e+00	6.89270e+03
2.80050e+00	6.74641e+03
2.93317e+00	6.59828e+03
3.07211e+00	6.44912e+03
3.21764e+00	6.29879e+03
3.37006e+00	6.14649e+03
3.52971e+00	5.99295e+03
3.69691e+00	5.83770e+03
3.87204e+00	5.67690e+03
4.05546e+00	5.49920e+03
4.24757e+00	5.32073e+03
4.44878e+00	5.14689e+03
4.65953e+00	4.97775e+03
4.88025e+00	4.81319e+03
5.11143e+00	4.65140e+03
5.35357e+00	4.49382e+03
5.60717e+00	4.34038e+03
5.87279e+00	4.19284e+03
6.15099e+00	4.04848e+03
6.44236e+00	3.90880e+03
6.74754e+00	3.77538e+03
7.06718e+00	3.64609e+03
7.40196e+00	3.51981e+03
7.75260e+00	3.39862e+03
8.11984e+00	3.28092e+03
8.50449e+00	3.16800e+03
8.90735e+00	3.05755e+03
9.32930e+00	2.95268e+03
9.77124e+00	2.84937e+03
1.02341e+01	2.75006e+03
1.07189e+01	2.65362e+03
1.12267e+01	2.56030e+03
1.17585e+01	2.47039e+03
1.23155e+01	2.38315e+03
1.28989e+01	2.29927e+03
1.35099e+01	2.21768e+03
1.41499e+01	2.13916e+03
1.48202e+01	2.06243e+03
1.55223e+01	1.98913e+03
1.62576e+01	1.91821e+03
1.70277e+01	1.84953e+03
1.78343e+01	1.78346e+03
1.86791e+01	1.71931e+03
1.95640e+01	1.65728e+03
2.04907e+01	1.59782e+03
2.14614e+01	1.54009e+03
2.24781e+01	1.48455e+03
2.35429e+01	1.43100e+03
2.46581e+01	1.37929e+03
2.58262e+01	1.32944e+03
2.70496e+01	1.28176e+03
2.83310e+01	1.23487e+03
2.96730e+01	1.18997e+03
3.10787e+01	1.14738e+03
3.25509e+01	1.10585e+03
3.40929e+01	1.06614e+03
3.57079e+01	1.02751e+03
3.73994e+01	9.90600e+02
3.91710e+01	9.54975e+02
4.10266e+01	9.20611e+02
4.29700e+01	8.87521e+02
4.50056e+01	8.55769e+02
4.71375e+01	8.25122e+02
4.93705e+01	7.95659e+02
5.17092e+01	7.67254e+02
5.41587e+01	7.39957e+02
5.67243e+01	7.13709e+02
5.94113e+01	6.88437e+02
6.22257e+01	6.64082e+02
6.51734e+01	6.40734e+02
6.82607e+01	6.18164e+02
7.14943e+01	5.96533e+02
7.48810e+01	5.75638e+02
7.84282e+01	5.55387e+02
8.21434e+01	5.36281e+02
8.60346e+01	5.17671e+02
9.01102e+01	4.99906e+02
9.43788e+01	4.82969e+02
9.88496e+01	4.66682e+02
1.03532e+02	4.51002e+02
1.08437e+02	4.35931e+02
1.13573e+02	4.21657e+02
1.18953e+02	4.07709e+02
1.24588e+02	3.94491e+02
1.30490e+02	3.81682e+02
1.36672e+02	3.69434e+02
1.43146e+02	3.57739e+02
1.49927e+02	3.46411e+02
1.57029e+02	3.35733e+02
1.64468e+02	3.25330e+02
1.72259e+02	3.15367e+02
1.80419e+02	3.05916e+02
1.88965e+02	2.96780e+02
1.97917e+02	2.88067e+02
2.07292e+02	2.79769e+02
2.17112e+02	2.71716e+02
2.27397e+02	2.64041e+02
2.38169e+02	2.56750e+02
2.49451e+02	2.49702e+02
2.61268e+02	2.43058e+02
2.73644e+02	2.36583e+02
2.86607e+02	2.30475e+02
3.00184e+02	2.24634e+02
3.14404e+02	2.18958e+02
3.29297e+02	2.13673e+02
3.44896e+02	2.08560e+02
3.61234e+02	2.03686e+02
3.78346e+02	1.99091e+02
3.96269e+02	1.94667e+02
4.15040e+02	1.90426e+02
4.34701e+02	1.86453e+02
4.55294e+02	1.82658e+02
4.76861e+02	1.79017e+02
4.99451e+02	1.75586e+02
5.23110e+02	1.72310e+02
5.47890e+02	1.69206e+02
5.73844e+02	1.66278e+02
6.01028e+02	1.63503e+02
6.29499e+02	1.60856e+02
6.59319e+02	1.58381e+02
6.90551e+02	1.56123e+02
7.23263e+02	1.53807e+02
7.57525e+02	1.51812e+02
7.93410e+02	1.49865e+02
8.30994e+02	1.48028e+02
8.70359e+02	1.46362e+02
9.11589e+02	1.44796e+02
9.54772e+02	1.43195e+02
1.00000e+03	1.41700e+02
