SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=F
AtomicNumber=9
MassNumber=19
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	1.03337e+04
1.04737e-01	1.05973e+04
1.09699e-01	1.08535e+04
1.14895e-01	1.11130e+04
1.20338e-01	1.13637e+04
1.26038e-01	1.16051e+04
1.32009e-01	1.18433e+04
1.38262e-01	1.20779e+04
1.44812e-01	1.23031e+04
1.51672e-01	1.25136e+04
1.58857e-01	1.27138e+04
1.66382e-01	1.29137e+04
1.74263e-01	1.30834e+04
1.82518e-01	1.32540e+04
1.91164e-01	1.34038e+04
2.00220e-01	1.35439e+04
2.09705e-01	1.36641e+04
2.19639e-01	1.37700e+04
2.30043e-01	1.38600e+04
2.40940e-01	1.39346e+04
2.52354e-01	1.39900e+04
2.64308e-01	1.40300e+04
2.76829e-01	1.40600e+04
2.89942e-01	1.41000e+04
3.03677e-01	1.40700e+04
3.18063e-01	1.40400e+04
3.33129e-01	1.40100e+04
3.48910e-01	1.39700e+04
3.65438e-01	1.39251e+04
3.82749e-01	1.38849e+04
4.00881e-01	1.38450e+04
4.19871e-01	1.38048e+04
4.39760e-01	1.37400e+04
4.60592e-01	1.36446e+04
4.82411e-01	1.35546e+04
5.05263e-01	1.34643e+04
5.29198e-01	1.33730e+04
5.54266e-01	1.32833e+04
5.80523e-01	1.31900e+04
6.08022e-01	1.30928e+04
6.36825e-01	1.29938e+04
6.66992e-01	1.28900e+04
6.98588e-01	1.27800e+04
7.31681e-01	1.26700e+04
7.66341e-01	1.25527e+04
8.02643e-01	1.24328e+04
8.40665e-01	1.23100e+04
8.80488e-01	1.21800e+04
9.22198e-01	1.20424e+04
9.65883e-01	1.19024e+04
1.01164e+00	1.17621e+04
1.05956e+00	1.16120e+04
1.10975e+00	1.14627e+04
1.16232e+00	1.13015e+04
1.21738e+00	1.11419e+04
1.27505e+00	1.09810e+04
1.33545e+00	1.08114e+04
1.39871e+00	1.06410e+04
1.46497e+00	1.05011e+04
1.53437e+00	1.03600e+04
1.60705e+00	1.02111e+04
1.68318e+00	1.00503e+04
1.76291e+00	9.89874e+03
1.84642e+00	9.73809e+03
1.93389e+00	9.57491e+03
2.02550e+00	9.40888e+03
2.12145e+00	9.24062e+03
2.22195e+00	9.06990e+03
2.32720e+00	8.89893e+03
2.43744e+00	8.72668e+03
2.55291e+00	8.55841e+03
2.67384e+00	8.39301e+03
2.80050e+00	8.22674e+03
2.93317e+00	8.05972e+03
3.07211e+00	7.89029e+03
3.21764e+00	7.71966e+03
3.37006e+00	7.54713e+03
3.52971e+00	7.37295e+03
3.69691e+00	7.19625e+03
3.87204e+00	7.01913e+03
4.05546e+00	6.82664e+03
4.24757e+00	6.63356e+03
4.44878e+00	6.43501e+03
4.65953e+00	6.23166e+03
4.88025e+00	6.02989e+03
5.11143e+00	5.83204e+03
5.35357e+00	5.64133e+03
5.60717e+00	5.45242e+03
5.87279e+00	5.26688e+03
6.15099e+00	5.08837e+03
6.44236e+00	4.91318e+03
6.74754e+00	4.74192e+03
7.06718e+00	4.57905e+03
7.40196e+00	4.42049e+03
7.75260e+00	4.26679e+03
8.11984e+00	4.11972e+03
8.50449e+00	3.97720e+03
8.90735e+00	3.83949e+03
9.32930e+00	3.70621e+03
9.77124e+00	3.57687e+03
1.02341e+01	3.45382e+03
1.07189e+01	3.33249e+03
1.12267e+01	3.21696e+03
1.17585e+01	3.10407e+03
1.23155e+01	2.99525e+03
1.28989e+01	2.89093e+03
1.35099e+01	2.78900e+03
1.41499e+01	2.69124e+03
1.48202e+01	2.59628e+03
1.55223e+01	2.50439e+03
1.62576e+01	2.41595e+03
1.70277e+01	2.33013e+03
1.78343e+01	2.24667e+03
1.86791e+01	2.16701e+03
1.95640e+01	2.08907e+03
2.04907e+01	2.01463e+03
2.14614e+01	1.94267e+03
2.24781e+01	1.87281e+03
2.35429e+01	1.80561e+03
2.46581e+01	1.74109e+03
