SourceProgram=fluka_2020_0
Target=WATER_LIQUID
IonizationPotential=77.0
Ion=Ne
AtomicNumber=10
MassNumber=20
E [MeV/u]	dEdx [MeV/cm]
1.00000e-01	1.13050e+04
1.04737e-01	1.15938e+04
1.09699e-01	1.18846e+04
1.14895e-01	1.21768e+04
1.20338e-01	1.24631e+04
1.26038e-01	1.27360e+04
1.32009e-01	1.30131e+04
1.38262e-01	1.32731e+04
1.44812e-01	1.35261e+04
1.51672e-01	1.37729e+04
1.58857e-01	1.40065e+04
1.66382e-01	1.42259e+04
1.74263e-01	1.44333e+04
1.82518e-01	1.46333e+04
1.91164e-01	1.48132e+04
2.00220e-01	1.49735e+04
2.09705e-01	1.51232e+04
2.19639e-01	1.52537e+04
2.30043e-01	1.53634e+04
2.40940e-01	1.54838e+04
2.52354e-01	1.56000e+04
2.64308e-01	1.56937e+04
2.76829e-01	1.57700e+04
2.89942e-01	1.58200e+04
3.03677e-01	1.58100e+04
3.18063e-01	1.57900e+04
3.33129e-01	1.57600e+04
3.48910e-01	1.57300e+04
3.65438e-01	1.57000e+04
3.82749e-01	1.56700e+04
4.00881e-01	1.56354e+04
4.19871e-01	1.56053e+04
4.39760e-01	1.55500e+04
4.60592e-01	1.54600e+04
4.82411e-01	1.53700e+04
5.05263e-01	1.52843e+04
5.29198e-01	1.52000e+04
5.54266e-01	1.51100e+04
5.80523e-01	1.50200e+04
6.08022e-01	1.49247e+04
6.36825e-01	1.48246e+04
6.66992e-01	1.47251e+04
6.98588e-01	1.46200e+04
7.31681e-01	1.45040e+04
7.66341e-01	1.43900e+04
8.02643e-01	1.42700e+04
8.40665e-01	1.41433e+04
8.80488e-01	1.40100e+04
9.22198e-01	1.38733e+04
9.65883e-01	1.37300e+04
1.01164e+00	1.35830e+04
1.05956e+00	1.34234e+04
1.10975e+00	1.32627e+04
1.16232e+00	1.31021e+04
1.21738e+00	1.29319e+04
1.27505e+00	1.27627e+04
1.33545e+00	1.25818e+04
1.39871e+00	1.24023e+04
1.46497e+00	1.22517e+04
1.53437e+00	1.21000e+04
1.60705e+00	1.19414e+04
1.68318e+00	1.17811e+04
1.76291e+00	1.16106e+04
1.84642e+00	1.14406e+04
1.93389e+00	1.12707e+04
2.02550e+00	1.10905e+04
2.12145e+00	1.09097e+04
2.22195e+00	1.07198e+04
2.32720e+00	1.05395e+04
2.43744e+00	1.03492e+04
2.55291e+00	1.01593e+04
2.67384e+00	9.97481e+03
2.80050e+00	9.79051e+03
2.93317e+00	9.60272e+03
3.07211e+00	9.41356e+03
3.21764e+00	9.22335e+03
3.37006e+00	9.03059e+03
3.52971e+00	8.83649e+03
3.69691e+00	8.63993e+03
3.87204e+00	8.44152e+03
4.05546e+00	8.22190e+03
4.24757e+00	8.00104e+03
4.44878e+00	7.78079e+03
4.65953e+00	7.56274e+03
4.88025e+00	7.34741e+03
5.11143e+00	7.12077e+03
5.35357e+00	6.89300e+03
5.60717e+00	6.66996e+03
5.87279e+00	6.44766e+03
6.15099e+00	6.23498e+03
6.44236e+00	6.02405e+03
6.74754e+00	5.81900e+03
7.06718e+00	5.61652e+03
7.40196e+00	5.42292e+03
7.75260e+00	5.23567e+03
8.11984e+00	5.05261e+03
8.50449e+00	4.87694e+03
8.90735e+00	4.70696e+03
9.32930e+00	4.54332e+03
9.77124e+00	4.38538e+03
1.02341e+01	4.23252e+03
1.07189e+01	4.08504e+03
1.12267e+01	3.94243e+03
1.17585e+01	3.80592e+03
1.23155e+01	3.67283e+03
1.28989e+01	3.54519e+03
1.35099e+01	3.42103e+03
1.41499e+01	3.30109e+03
1.48202e+01	3.18508e+03
1.55223e+01	3.07279e+03
1.62576e+01	2.96504e+03
1.70277e+01	2.86131e+03
1.78343e+01	2.75949e+03
1.86791e+01	2.66215e+03
1.95640e+01	2.56784e+03
2.04907e+01	2.47673e+03
2.14614e+01	2.38879e+03
2.24781e+01	2.30321e+03
2.35429e+01	2.22140e+03
2.46581e+01	2.14238e+03
2.58262e+01	2.06530e+03
2.70496e+01	1.99132e+03
2.83310e+01	1.92032e+03
2.96730e+01	1.85117e+03
3.10787e+01	1.78518e+03
3.25509e+01	1.72129e+03
3.40929e+01	1.65947e+03
3.57079e+01	1.60035e+03
3.73994e+01	1.54326e+03
3.91710e+01	1.48812e+03
4.10266e+01	1.43497e+03
4.29700e+01	1.38385e+03
4.50056e+01	1.33452e+03
4.71375e+01	1.28684e+03
4.93705e+01	1.24089e+03
5.17092e+01	1.19680e+03
5.41587e+01	1.15516e+03
5.67243e+01	1.11363e+03
5.94113e+01	1.07448e+03
6.22257e+01	1.03664e+03
6.51734e+01	1.00032e+03
6.82607e+01	9.65281e+02
7.14943e+01	9.31445e+02
7.48810e+01	8.99052e+02
7.84282e+01	8.67811e+02
8.21434e+01	8.37601e+02
8.60346e+01	8.08834e+02
9.01102e+01	7.81174e+02
9.43788e+01	7.54676e+02
9.88496e+01	7.29336e+02
1.03532e+02	7.04936e+02
1.08437e+02	6.81521e+02
1.13573e+02	6.59072e+02
1.18953e+02	6.37469e+02
1.24588e+02	6.16749e+02
1.30490e+02	5.96797e+02
1.36672e+02	5.77763e+02
1.43146e+02	5.59350e+02
1.49927e+02	5.41848e+02
1.57029e+02	5.25012e+02
1.64468e+02	5.08889e+02
1.72259e+02	4.93413e+02
1.80419e+02	4.78499e+02
1.88965e+02	4.64273e+02
1.97917e+02	4.50679e+02
2.07292e+02	4.37678e+02
2.17112e+02	4.25124e+02
2.27397e+02	4.13181e+02
2.38169e+02	4.01678e+02
2.49451e+02	3.90736e+02
2.61268e+02	3.80243e+02
2.73644e+02	3.70215e+02
2.86607e+02	3.60617e+02
3.00184e+02	3.51508e+02
3.14404e+02	3.42794e+02
3.29297e+02	3.34444e+02
3.44896e+02	3.26438e+02
3.61234e+02	3.18876e+02
3.78346e+02	3.11599e+02
3.96269e+02	3.04660e+02
4.15040e+02	2.98089e+02
4.34701e+02	2.91858e+02
4.55294e+02	2.85866e+02
4.76861e+02	2.80244e+02
4.99451e+02	2.74840e+02
5.23110e+02	2.69718e+02
5.47890e+02	2.64909e+02
5.73844e+02	2.60275e+02
6.01028e+02	2.56027e+02
6.29499e+02	2.51899e+02
6.59319e+02	2.47991e+02
6.90551e+02	2.44328e+02
7.23263e+02	2.40934e+02
7.57525e+02	2.37717e+02
7.93410e+02	2.34685e+02
8.30994e+02	2.31743e+02
8.70359e+02	2.29129e+02
9.11589e+02	2.26584e+02
9.54772e+02	2.24179e+02
1.00000e+03	2.21869e+02
