SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=H
AtomicNumber=1
MassNumber=1
E [MeV/u]	dEdx [MeV/cm]
0.1		814.5
0.101393		813.099
0.102804		811.602
0.104236		810.007
0.105688		808.314
0.107159		806.522
0.108652		804.632
0.110165		802.644
0.111699		800.557
0.113254		798.372
0.114831		796.09
0.11643		793.711
0.118052		791.237
0.119696		788.668
0.121362		786.007
0.123052		783.255
0.124766		780.414
0.126503		777.488
0.128265		774.478
0.130051		771.389
0.131862		768.223
0.133698		764.985
0.13556		761.68
0.137448		758.312
0.139362		754.888
0.141303		751.413
0.14327		747.895
0.145265		744.34
0.147288		740.756
0.149339		737.153
0.151419		733.513
0.153528		729.853
0.155665		726.187
0.157833		722.513
0.160031		718.832
0.16226		715.144
0.164519		711.45
0.16681		707.749
0.169133		704.042
0.171488		700.327
0.173876		696.606
0.176298		692.878
0.178753		689.143
0.181242		685.401
0.183766		681.651
0.186325		677.893
0.188919		674.127
0.19155		670.351
0.194217		666.566
0.196922		662.77
0.199664		658.963
0.202445		655.133
0.205264		651.289
0.208122		647.433
0.21102		643.567
0.213959		639.69
0.216938		635.804
0.219959		631.908
0.223022		628.004
0.226128		624.093
0.229277		620.174
0.23247		616.249
0.235707		612.318
0.238989		608.381
0.242317		604.44
0.245692		600.496
0.249113		596.548
0.252582		592.598
0.256099		588.645
0.259666		584.692
0.263282		580.738
0.266948		576.784
0.270665		572.831
0.274434		568.879
0.278256		564.93
0.282131		560.982
0.28606		557.038
0.290043		553.098
0.294082		549.162
0.298177		545.231
0.302329		541.316
0.30654		537.417
0.310808		533.524
0.315136		529.638
0.319525		525.761
0.323974		521.892
0.328486		518.033
0.33306		514.183
0.337698		510.344
0.342401		506.515
0.347169		502.698
0.352003		498.893
0.356905		495.099
0.361875		491.318
0.366914		487.549
0.372024		483.792
0.377204		480.048
0.382457		476.317
0.387783		472.598
0.393183		468.891
0.398658		465.196
0.40421		461.507
0.409838		457.827
0.415546		454.16
0.421332		450.506
0.427199		446.865
0.433148		443.238
0.43918		439.625
0.445296		436.028
0.451497		432.445
0.457784		428.878
0.464159		425.327
0.470622		421.792
0.477176		418.272
0.483821		414.769
0.490558		411.282
0.49739		407.81
0.504316		404.354
0.511339		400.913
0.518459		397.488
0.525679		394.08
0.532999		390.69
0.540422		387.316
0.547947		383.961
0.555578		380.624
0.563314		377.306
0.571159		374.005
0.579112		370.724
0.587177		367.461
0.595353		364.216
0.603644		360.987
0.61205		357.774
0.620573		354.579
0.629215		351.404
0.637977		348.249
0.646861		345.114
0.655869		342
0.665002		338.908
0.674262		335.838
0.683652		332.79
0.693172		329.764
0.702824		326.761
0.712612		323.78
0.722535		320.822
0.732597		317.886
0.742798		314.972
0.753142		312.081
0.76363		309.21
