SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=He
AtomicNumber=2
MassNumber=4
E [MeV/u]	dEdx [MeV/cm]
0.1		2062
0.101393		2070.2
0.102804		2078.28
0.104236		2086.25
0.105688		2094.09
0.107159		2101.81
0.108652		2109.4
0.110165		2116.85
0.111699		2124.16
0.113254		2131.32
0.114831		2138.35
0.11643		2145.22
0.118052		2151.93
0.119696		2158.49
0.121362		2164.89
0.123052		2171.12
0.124766		2177.19
0.126503		2183.09
0.128265		2188.81
0.130051		2194.36
0.131862		2199.72
0.133698		2204.89
0.13556		2209.87
0.137448		2214.65
0.139362		2219.23
0.141303		2223.6
0.14327		2227.76
0.145265		2231.7
0.147288		2235.43
0.149339		2238.93
0.151419		2242.22
0.153528		2245.29
0.155665		2248.12
0.157833		2250.71
0.160031		2253.06
0.16226		2255.17
0.164519		2257.03
0.16681		2258.64
0.169133		2260
0.171488		2261.1
0.173876		2261.94
0.176298		2262.53
0.178753		2262.85
0.181242		2262.92
0.183766		2262.73
0.186325		2262.27
0.188919		2261.57
0.19155		2260.6
0.194217		2259.39
0.196922		2257.93
0.199664		2256.22
0.202445		2254.21
0.205264		2251.94
0.208122		2249.43
0.21102		2246.66
0.213959		2243.63
0.216938		2240.33
0.219959		2236.76
0.223022		2232.92
0.226128		2228.8
0.229277		2224.39
0.23247		2219.69
0.235707		2214.69
0.238989		2209.39
0.242317		2203.79
0.245692		2197.88
0.249113		2191.65
0.252582		2185.14
0.256099		2178.33
0.259666		2171.19
0.263282		2163.73
0.266948		2155.95
0.270665		2147.85
0.274434		2139.43
0.278256		2130.68
0.282131		2121.62
0.28606		2112.24
0.290043		2102.55
0.294082		2092.55
0.298177		2082.24
0.302329		2071.64
0.30654		2060.75
0.310808		2049.58
0.315136		2038.14
0.319525		2026.43
0.323974		2014.47
0.328486		2002.27
0.33306		1989.85
0.337698		1977.23
0.342401		1964.41
0.347169		1951.43
0.352003		1938.29
0.356905		1925.03
0.361875		1911.68
0.366914		1898.24
0.372024		1884.77
0.377204		1871.24
0.382457		1857.66
0.387783		1844.09
0.393183		1830.53
0.398658		1816.99
0.40421		1803.47
0.409838		1789.96
0.415546		1776.48
0.421332		1763.02
0.427199		1749.59
0.433148		1736.19
0.43918		1722.82
0.445296		1709.47
0.451497		1696.16
0.457784		1682.88
0.464159		1669.64
0.470622		1656.43
0.477176		1643.25
0.483821		1630.11
0.490558		1617.01
0.49739		1603.94
0.504316		1590.86
0.511339		1577.8
0.518459		1564.78
0.525679		1551.8
0.532999		1538.86
0.540422		1525.96
0.547947		1513.12
0.555578		1500.33
0.563314		1487.59
0.571159		1474.91
0.579112		1462.29
0.587177		1449.73
0.595353		1437.24
0.603644		1424.81
0.61205		1412.45
0.620573		1400.16
0.629215		1387.94
0.637977		1375.79
0.646861		1363.72
0.655869		1351.71
0.665002		1339.78
0.674262		1327.93
0.683652		1316.14
0.693172		1304.43
0.702824		1292.79
0.712612		1281.22
0.722535		1269.72
0.732597		1258.28
0.742798		1246.9
0.753142		1235.61
0.76363		1224.45
0.774264		1213.35
0.785046		1202.31
0.795978		1191.33
0.807062		1180.42
0.818301		1169.57
0.829696		1158.8
0.84125		1148.1
0.852964		1137.48
0.864842		1126.93
0.876886		1116.46
0.889097		1106.07
0.901478		1095.76
0.914031		1085.53
0.926759		1075.38
0.939665		1065.31
0.95275		1055.33
0.966017		1045.42
0.97947		1035.59
0.993109		1025.85
1.00694		1016.16
1.02096		1006.54
1.03518		996.994
1.04959		987.527
1.06421		978.14
1.07903		968.832
1.09405		959.605
1.10929		950.459
1.12474		941.393
1.1404		932.407
1.15628		923.501
1.17238		914.672
1.18871		905.919
1.20526		897.24
1.22204		888.632
1.23906		880.093
1.25632		871.618
1.27381		863.204
1.29155		854.854
1.30954		846.568
1.32777		838.348
1.34626		830.193
1.36501		822.105
1.38402		814.084
1.40329		806.129
1.42283		798.239
1.44264		790.416
1.46273		782.656
1.4831		774.959
1.50376		767.321
1.5247		759.731
1.54593		752.203
1.56746		744.736
1.58928		737.334
1.61141		729.996
1.63385		722.724
1.65661		715.519
1.67967		708.381
1.70307		701.311
1.72678		694.308
1.75083		687.373
1.77521		680.506
1.79993		673.706
1.82499		666.971
1.85041		660.3
1.87617		653.693
1.9023		647.146
1.92879		640.657
1.95565		634.224
1.98288		627.842
2.0105		621.526
2.03849		615.286
2.06688		609.094
2.09566		602.95
2.12485		596.856
2.15443		590.811
2.18444		584.817
2.21486		578.874
2.2457		572.983
2.27697		567.143
2.30868		561.355
2.34083		555.618
2.37342		549.931
2.40648		544.294
2.43999		538.705
2.47396		533.164
2.50842		527.662
2.54335		522.182
2.57876		516.747
2.61467		511.36
2.65108		506.02
2.688		500.731
2.72543		495.493
2.76339		490.306
2.80187		485.173
