SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=Li
AtomicNumber=3
MassNumber=7
E [MeV/u]	dEdx [MeV/cm]
0.1		2990.76
0.101393		3006.43
0.102804		3022.31
0.104236		3038.41
0.105688		3054.74
0.107159		3071.3
0.108652		3088.08
0.110165		3105.11
0.111699		3122.36
0.113254		3139.86
0.114831		3157.6
0.11643		3175.59
0.118052		3193.83
0.119696		3212.32
0.121362		3231.08
0.123052		3250.09
0.124766		3269.01
0.126503		3282.19
0.128265		3295.55
0.130051		3309.1
0.131862		3322.84
0.133698		3336.77
0.13556		3350.89
0.137448		3365.21
0.139362		3379.73
0.141303		3394.45
0.14327		3409.37
0.145265		3424.5
0.147288		3439.85
0.149339		3455.41
0.151419		3471.18
0.153528		3487.17
0.155665		3503.39
0.157833		3516.85
0.160031		3526.15
0.16226		3535.59
0.164519		3545.15
0.16681		3554.84
0.169133		3564.67
0.171488		3574.64
0.173876		3584.75
0.176298		3594.99
0.178753		3605.38
0.181242		3615.92
0.183766		3626.6
0.186325		3637.43
0.188919		3648.41
0.19155		3659.54
0.194217		3670.83
0.196922		3682.27
0.199664		3687.75
0.202445		3691.36
0.205264		3695.02
0.208122		3698.73
0.21102		3702.49
0.213959		3706.31
0.216938		3710.18
0.219959		3714.1
0.223022		3718.07
0.226128		3722.1
0.229277		3726.19
0.23247		3730.34
0.235707		3734.54
0.238989		3738.8
0.242317		3743.12
0.245692		3747.5
0.249113		3750.95
0.252582		3746.54
0.256099		3742.07
0.259666		3737.54
0.263282		3732.95
0.266948		3728.29
0.270665		3723.56
0.274434		3718.78
0.278256		3713.92
0.282131		3709
0.28606		3704.01
0.290043		3698.94
0.294082		3693.81
0.298177		3688.61
0.302329		3683.33
0.30654		3677.98
0.310808		3672.56
0.315136		3663.99
0.319525		3651.74
0.323974		3639.31
0.328486		3626.71
0.33306		3613.93
0.337698		3600.98
0.342401		3587.84
0.347169		3574.52
0.352003		3561.02
0.356905		3547.33
0.361875		3533.45
0.366914		3519.37
0.372024		3505.1
0.377204		3490.63
0.382457		3475.96
0.387783		3461.08
0.393183		3446
0.398658		3430.94
0.40421		3415.73
0.409838		3400.3
0.415546		3384.66
0.421332		3368.8
0.427199		3352.73
0.433148		3336.42
0.43918		3319.89
0.445296		3303.13
0.451497		3286.14
0.457784		3268.91
0.464159		3251.44
0.470622		3233.72
0.477176		3215.76
0.483821		3197.55
0.490558		3179.09
0.49739		3160.78
0.504316		3144.32
0.511339		3127.62
0.518459		3110.7
0.525679		3093.53
0.532999		3076.13
0.540422		3058.49
0.547947		3040.6
0.555578		3022.46
0.563314		3004.07
0.571159		2985.42
0.579112		2966.51
0.587177		2947.34
0.595353		2927.91
0.603644		2908.2
0.61205		2888.22
0.620573		2867.96
0.629215		2849.43
0.637977		2832.56
0.646861		2815.44
0.655869		2798.09
0.665002		2780.5
0.674262		2762.67
0.683652		2744.58
0.693172		2726.24
0.702824		2707.65
0.712612		2688.8
0.722535		2669.68
0.732597		2650.3
0.742798		2630.65
0.753142		2610.73
0.76363		2590.53
0.774264		2570.05
0.785046		2549.28
0.795978		2531.74
0.807062		2514.49
0.818301		2497
0.829696		2479.27
0.84125		2461.29
0.852964		2443.07
0.864842		2424.58
0.876886		2405.84
0.889097		2386.84
0.901478		2367.58
0.914031		2348.05
0.926759		2328.24
0.939665		2308.16
0.95275		2287.8
0.966017		2267.16
0.97947		2246.22
0.993109		2226.14
1.00694		2209.88
1.02096		2193.39
1.03518		2176.68
1.04959		2159.73
1.06421		2142.54
1.07903		2125.12
1.09405		2107.45
1.10929		2089.54
1.12474		2071.38
1.1404		2052.97
1.15628		2034.29
1.17238		2015.36
1.18871		1996.17
1.20526		1976.71
1.22204		1956.97
1.23906		1936.97
1.25632		1919.81
1.27381		1904.81
1.29155		1889.6
1.30954		1874.19
1.32777		1858.55
1.34626		1842.7
1.36501		1826.63
1.38402		1810.33
1.40329		1793.81
1.42283		1777.06
1.44264		1760.07
1.46273		1742.85
1.4831		1725.38
1.50376		1707.68
1.5247		1689.73
1.54593		1671.52
1.56746		1653.07
1.58928		1639.22
1.61141		1625.61
1.63385		1611.82
1.65661		1597.83
1.67967		1583.65
1.70307		1569.27
1.72678		1554.69
1.75083		1539.91
1.77521		1524.92
1.79993		1509.72
1.82499		1494.31
1.85041		1478.69
1.87617		1462.85
1.9023		1446.79
1.92879		1430.5
1.95565		1413.99
1.98288		1398.63
2.0105		1404.68
2.03849		1391.51
2.06688		1378.39
2.09566		1365.33
2.12485		1352.34
2.15443		1339.42
2.18444		1326.58
2.21486		1313.83
2.2457		1301.16
2.27697		1288.58
2.30868		1276.09
2.34083		1263.7
2.37342		1251.42
2.40648		1239.23
2.43999		1227.16
2.47396		1215.18
2.50842		1203.32
2.54335		1191.56
2.57876		1179.91
2.61467		1168.39
2.65108		1156.98
2.688		1145.66
2.72543		1134.44
2.76339		1123.3
2.80187		1112.25
2.84088		1101.27
2.88044		1090.36
2.92056		1079.5
2.96123		1068.69
3.00246		1057.97
3.04427		1047.37
3.08666		1036.8
3.12965		1026.26
3.17323		1015.77
3.21742		1005.32
3.26222		994.915
3.30765		984.568
3.35371		974.279
3.40041		964.05
3.44776		953.886
3.49578		943.791
3.54446		933.767
3.59381		923.819
3.64386		913.948
3.6946		904.158
3.74605		894.45
3.79822		884.828
3.85111		875.294
3.90474		865.848
3.95911		856.493
4.01424		847.212
4.07014		838.012
4.12682		828.901
4.18429		819.886
4.24256		810.968
4.30164		802.147
4.36154		793.423
4.42227		784.797
4.48386		776.268
4.5463		767.834
4.6096		759.495
4.6738		751.247
4.73888		743.088
4.80487		735.015
4.87178		727.024
4.93962		719.11
5.00841		711.267
5.07815		703.493
5.14887		695.79
5.22057		688.158
5.29327		680.6
5.36698		673.115
5.44171		665.705
5.51749		658.369
5.59433		651.107
5.67223		643.92
5.75122		636.807
5.83131		629.766
5.91251		622.797
5.99484		615.893
6.07832		609.049
6.16297		602.275
6.24879		595.572
6.3358		588.941
6.42403		582.383
6.51349		575.899
6.60419		569.49
6.69616		563.155
6.78941		556.895
6.88395		550.709
6.97981		544.598
7.07701		538.559
7.17556		532.593
7.27548		526.699
7.3768		520.877
7.47952		515.12
7.58368		509.428
7.68928		503.797
7.79636		498.224
7.90493		492.704
8.01501		487.256
8.12662		481.878
8.23979		476.55
8.35453		471.271
8.47087		466.043
8.58883		460.865
8.70843		455.739
8.8297		450.665
8.95266		445.643
9.07733		440.673
9.20373		435.754
9.3319		430.887
9.46185		426.071
9.59361		421.305
9.7272		416.587
9.86266		411.918
10		407.285
10.1393		402.682
10.2804		398.125
10.4236		393.615
10.5688		389.155
10.7159		384.744
10.8652		380.383
11.0165		376.075
11.1699		371.819
11.3254		367.615
11.4831		363.466
11.643		359.37
11.8052		355.329
11.9696		351.342
12.1362		347.41
12.3052		343.532
12.4766		339.708
12.6503		335.937
12.8265		332.218
13.0051		328.551
13.1862		324.935
13.3698		321.366
13.556		317.845
13.7448		314.368
13.9362		310.933
14.1303		307.537
14.327		304.177
14.5265		300.849
14.7288		297.549
14.9339		294.277
15.1419		291.084
15.3528		287.911
15.5665		284.759
15.7833		281.63
16.0031		278.525
16.226		275.442
16.4519		272.385
16.681		269.353
16.9133		266.347
17.1488		263.367
17.3876		260.415
17.6298		257.489
17.8753		254.592
18.1242		251.724
18.3766		248.884
18.6325		246.072
18.8919		243.29
19.155		240.536
19.4217		237.812
19.6922		235.116
19.9664		232.443
20.2445		229.785
20.5264		227.155
20.8122		224.554
21.102		221.983
21.3959		219.444
21.6938		216.935
21.9959		214.459
22.3022		212.015
22.6128		209.604
22.9277		207.226
23.247		204.882
23.5707		202.571
23.8989		200.293
24.2317		198.048
24.5692		195.837
24.9113		193.658
25.2582		191.513
25.6099		189.4
25.9666		187.318
26.3282		185.268
26.6948		183.246
27.0665		181.254
27.4434		179.288
