SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=Be
AtomicNumber=4
MassNumber=9
E [MeV/u]	dEdx [MeV/cm]
0.1		4014.57
0.101393		4036.88
0.102804		4059.51
0.104236		4082.45
0.105688		4105.71
0.107159		4129.29
0.108652		4153.2
0.110165		4177.45
0.111699		4202.03
0.113254		4226.96
0.114831		4252.23
0.11643		4277.85
0.118052		4303.83
0.119696		4330.18
0.121362		4356.89
0.123052		4383.97
0.124766		4410.44
0.126503		4430.05
0.128265		4449.93
0.130051		4470.09
0.131862		4490.53
0.133698		4511.26
0.13556		4532.27
0.137448		4553.58
0.139362		4575.18
0.141303		4597.09
0.14327		4619.3
0.145265		4641.82
0.147288		4664.65
0.149339		4687.8
0.151419		4711.28
0.153528		4735.08
0.155665		4759.21
0.157833		4779.15
0.160031		4794.33
0.16226		4809.71
0.164519		4825.31
0.16681		4841.13
0.169133		4857.17
0.171488		4873.43
0.173876		4889.92
0.176298		4906.63
0.178753		4923.58
0.181242		4940.77
0.183766		4958.2
0.186325		4975.86
0.188919		4993.78
0.19155		5011.94
0.194217		5030.36
0.196922		5049.03
0.199664		5059.1
0.202445		5067.44
0.205264		5075.9
0.208122		5084.48
0.21102		5093.18
0.213959		5102
0.216938		5110.94
0.219959		5120.01
0.223022		5129.2
0.226128		5138.52
0.229277		5147.97
0.23247		5157.55
0.235707		5167.26
0.238989		5177.12
0.242317		5187.1
0.245692		5197.23
0.249113		5205.31
0.252582		5203.42
0.256099		5201.5
0.259666		5199.56
0.263282		5197.59
0.266948		5195.59
0.270665		5193.56
0.274434		5191.51
0.278256		5189.42
0.282131		5187.31
0.28606		5185.17
0.290043		5183
0.294082		5180.8
0.298177		5178.56
0.302329		5176.3
0.30654		5174
0.310808		5171.68
0.315136		5164.12
0.319525		5151.82
0.323974		5139.36
0.328486		5126.72
0.33306		5113.9
0.337698		5100.91
0.342401		5087.74
0.347169		5074.38
0.352003		5060.83
0.356905		5047.1
0.361875		5033.18
0.366914		5019.06
0.372024		5004.75
0.377204		4990.23
0.382457		4975.52
0.387783		4960.6
0.393183		4945.47
0.398658		4929.64
0.40421		4913.52
0.409838		4897.18
0.415546		4880.62
0.421332		4863.82
0.427199		4846.79
0.433148		4829.52
0.43918		4812.01
0.445296		4794.25
0.451497		4776.25
0.457784		4758
0.464159		4739.5
0.470622		4720.73
0.477176		4701.71
0.483821		4682.42
0.490558		4662.86
0.49739		4643.48
0.504316		4625.31
0.511339		4606.89
0.518459		4588.21
0.525679		4569.27
0.532999		4550.07
0.540422		4530.6
0.547947		4510.86
0.555578		4490.84
0.563314		4470.54
0.571159		4449.97
0.579112		4429.1
0.587177		4407.95
0.595353		4386.5
0.603644		4364.75
0.61205		4342.7
0.620573		4320.34
0.629215		4299.7
0.637977		4280.23
0.646861		4260.49
0.655869		4240.47
0.665002		4220.17
0.674262		4199.59
0.683652		4178.72
0.693172		4157.56
0.702824		4136.11
0.712612		4114.36
0.722535		4092.3
0.732597		4069.94
0.742798		4047.27
0.753142		4024.28
0.76363		4000.97
0.774264		3977.34
0.785046		3953.38
0.795978		3932.69
0.807062		3911.96
0.818301		3890.94
0.829696		3869.63
0.84125		3848.02
0.852964		3826.12
0.864842		3803.9
0.876886		3781.38
0.889097		3758.55
0.901478		3735.39
0.914031		3711.92
0.926759		3688.11
0.939665		3663.98
0.95275		3639.51
0.966017		3614.7
0.97947		3589.54
0.993109		3565.49
1.00694		3544.77
1.02096		3523.76
1.03518		3502.46
1.04959		3480.87
1.06421		3458.97
1.07903		3436.77
1.09405		3414.25
1.10929		3391.43
1.12474		3368.29
1.1404		3344.82
1.15628		3321.03
1.17238		3296.9
1.18871		3272.44
1.20526		3247.64
1.22204		3222.5
1.23906		3197
1.25632		3174.58
1.27381		3153.82
1.29155		3132.77
1.30954		3111.43
1.32777		3089.79
1.34626		3067.85
1.36501		3045.61
1.38402		3023.05
1.40329		3000.18
1.42283		2976.99
1.44264		2953.48
1.46273		2929.65
1.4831		2905.48
1.50376		2880.97
1.5247		2856.12
1.54593		2830.93
1.56746		2805.38
1.58928		2785.1
1.61141		2764.62
1.63385		2743.85
1.65661		2722.8
1.67967		2701.45
1.70307		2679.8
1.72678		2657.85
1.75083		2635.59
1.77521		2613.03
1.79993		2590.15
1.82499		2566.95
1.85041		2543.43
1.87617		2519.58
1.9023		2495.4
1.92879		2470.89
1.95565		2446.03
1.98288		2423
2.0105		2359.89
2.03849		2339.15
2.06688		2318.48
2.09566		2297.9
2.12485		2277.41
2.15443		2257.01
2.18444		2236.73
2.21486		2216.56
2.2457		2196.52
2.27697		2176.61
2.30868		2156.84
2.34083		2137.21
2.37342		2117.74
2.40648		2098.41
2.43999		2079.24
2.47396		2060.23
2.50842		2041.37
2.54335		2022.68
2.57876		2004.15
2.61467		1985.83
2.65108		1967.67
2.688		1949.65
2.72543		1931.77
2.76339		1914.01
2.80187		1896.36
2.84088		1878.82
2.88044		1861.36
2.92056		1843.97
2.96123		1826.64
3.00246		1809.45
3.04427		1792.42
3.08666		1775.41
3.12965		1758.44
3.17323		1741.52
3.21742		1724.65
3.26222		1707.84
3.30765		1691.1
3.35371		1674.43
3.40041		1657.84
3.44776		1641.33
3.49578		1624.92
3.54446		1608.6
3.59381		1592.39
3.64386		1576.29
3.6946		1560.3
3.74605		1544.43
3.79822		1528.69
3.85111		1513.06
3.90474		1497.57
3.95911		1482.21
4.01424		1466.95
4.07014		1451.8
4.12682		1436.79
4.18429		1421.91
4.24256		1407.18
4.30164		1392.59
4.36154		1378.16
4.42227		1363.86
4.48386		1349.72
4.5463		1335.71
4.6096		1321.85
4.6738		1308.13
4.73888		1294.54
4.80487		1281.07
4.87178		1267.73
4.93962		1254.5
5.00841		1241.38
5.07815		1228.35
5.14887		1215.43
5.22057		1202.61
5.29327		1189.91
5.36698		1177.31
5.44171		1164.82
5.51749		1152.45
5.59433		1140.19
5.67223		1128.04
5.75122		1116.01
5.83131		1104.08
5.91251		1092.26
5.99484		1080.54
6.07832		1068.91
6.16297		1057.38
6.24879		1045.97
6.3358		1034.67
6.42403		1023.48
6.51349		1012.41
6.60419		1001.45
6.69616		990.612
6.78941		979.892
6.88395		969.291
6.97981		958.807
7.07701		948.439
7.17556		938.187
7.27548		928.052
7.3768		918.031
7.47952		908.117
7.58368		898.305
7.68928		888.589
7.79636		878.964
7.90493		869.424
8.01501		860.006
8.12662		850.697
8.23979		841.466
8.35453		832.315
8.47087		823.245
8.58883		814.256
8.70843		805.351
8.8297		796.529
8.95266		787.791
9.07733		779.138
9.20373		770.57
9.3319		762.085
9.46185		753.684
9.59361		745.366
9.7272		737.128
9.86266		728.969
10		720.865
10.1393		712.811
10.2804		704.834
10.4236		696.936
10.5688		689.12
10.7159		681.388
10.8652		673.741
11.0165		666.182
11.1699		658.711
11.3254		651.331
11.4831		644.042
11.643		636.845
11.8052		629.742
11.9696		622.731
12.1362		615.814
12.3052		608.99
12.4766		602.259
12.6503		595.619
12.8265		589.07
13.0051		582.61
