SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=B
AtomicNumber=5
MassNumber=10
E [MeV/u]	dEdx [MeV/cm]
0.1		5292.69
0.101393		5322.25
0.102804		5352.22
0.104236		5382.61
0.105688		5413.42
0.107159		5444.66
0.108652		5476.34
0.110165		5508.45
0.111699		5541.02
0.113254		5574.03
0.114831		5607.51
0.11643		5641.46
0.118052		5675.87
0.119696		5710.77
0.121362		5746.15
0.123052		5782.02
0.124766		5816.72
0.126503		5842.81
0.128265		5869.26
0.130051		5896.09
0.131862		5923.29
0.133698		5950.86
0.13556		5978.82
0.137448		6007.17
0.139362		6035.92
0.141303		6065.06
0.14327		6094.61
0.145265		6124.57
0.147288		6154.95
0.149339		6185.76
0.151419		6216.99
0.153528		6248.66
0.155665		6280.76
0.157833		6306.96
0.160031		6327.39
0.16226		6348.1
0.164519		6369.1
0.16681		6390.39
0.169133		6411.97
0.171488		6433.86
0.173876		6456.05
0.176298		6478.55
0.178753		6501.37
0.181242		6524.5
0.183766		6547.95
0.186325		6571.74
0.188919		6595.85
0.19155		6620.3
0.194217		6645.08
0.196922		6670.22
0.199664		6683.67
0.202445		6695.39
0.205264		6707.27
0.208122		6719.32
0.21102		6731.54
0.213959		6743.92
0.216938		6756.48
0.219959		6769.21
0.223022		6782.12
0.226128		6795.21
0.229277		6808.49
0.23247		6821.94
0.235707		6835.59
0.238989		6849.42
0.242317		6863.45
0.245692		6877.67
0.249113		6888.68
0.252582		6887.29
0.256099		6885.88
0.259666		6884.46
0.263282		6883.01
0.266948		6881.55
0.270665		6880.06
0.274434		6878.56
0.278256		6877.03
0.282131		6875.48
0.28606		6873.91
0.290043		6872.32
0.294082		6870.7
0.298177		6869.07
0.302329		6867.41
0.30654		6865.73
0.310808		6864.02
0.315136		6855.05
0.319525		6840.38
0.323974		6825.52
0.328486		6810.45
0.33306		6795.16
0.337698		6779.67
0.342401		6763.95
0.347169		6748.02
0.352003		6731.87
0.356905		6715.5
0.361875		6698.89
0.366914		6682.05
0.372024		6664.98
0.377204		6647.67
0.382457		6630.12
0.387783		6612.33
0.393183		6594.29
0.398658		6575.4
0.40421		6556.2
0.409838		6536.74
0.415546		6517
0.421332		6496.99
0.427199		6476.7
0.433148		6456.12
0.43918		6435.26
0.445296		6414.11
0.451497		6392.66
0.457784		6370.92
0.464159		6348.87
0.470622		6326.52
0.477176		6303.85
0.483821		6280.87
0.490558		6257.57
0.49739		6234.61
0.504316		6213.15
0.511339		6191.4
0.518459		6169.34
0.525679		6146.97
0.532999		6124.29
0.540422		6101.29
0.547947		6077.98
0.555578		6054.34
0.563314		6030.37
0.571159		6006.07
0.579112		5981.43
0.587177		5956.44
0.595353		5931.11
0.603644		5905.42
0.61205		5879.38
0.620573		5852.98
0.629215		5828.84
0.637977		5805.98
0.646861		5782.81
0.655869		5759.31
0.665002		5735.48
0.674262		5711.33
0.683652		5686.84
0.693172		5662
0.702824		5636.82
0.712612		5611.29
0.722535		5585.41
0.732597		5559.16
0.742798		5532.55
0.753142		5505.57
0.76363		5478.21
0.774264		5450.47
0.785046		5422.35
0.795978		5398.21
0.807062		5373.87
0.818301		5349.19
0.829696		5324.17
0.84125		5298.8
0.852964		5273.07
0.864842		5246.99
0.876886		5220.54
0.889097		5193.72
0.901478		5166.53
0.914031		5138.97
0.926759		5111.01
0.939665		5082.67
0.95275		5053.94
