SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=C
AtomicNumber=6
MassNumber=12
E [MeV/u]	dEdx [MeV/cm]
0.1		6685.66
0.101393		6723.9
0.102804		6762.67
0.104236		6801.99
0.105688		6841.85
0.107159		6882.27
0.108652		6923.25
0.110165		6964.8
0.111699		7006.93
0.113254		7049.64
0.114831		7092.96
0.11643		7136.87
0.118052		7181.4
0.119696		7226.54
0.121362		7272.32
0.123052		7318.73
0.124766		7362.83
0.126503		7396.82
0.128265		7431.29
0.130051		7466.24
0.131862		7501.68
0.133698		7537.6
0.13556		7574.03
0.137448		7610.97
0.139362		7648.42
0.141303		7686.39
0.14327		7724.89
0.145265		7763.93
0.147288		7803.51
0.149339		7843.64
0.151419		7884.33
0.153528		7925.59
0.155665		7967.42
0.157833		8000.76
0.160031		8027.69
0.16226		8055
0.164519		8082.69
0.16681		8110.76
0.169133		8139.23
0.171488		8168.09
0.173876		8197.35
0.176298		8227.02
0.178753		8257.11
0.181242		8287.61
0.183766		8318.54
0.186325		8349.89
0.188919		8381.69
0.19155		8413.93
0.194217		8446.61
0.196922		8479.76
0.199664		8496.85
0.202445		8512.83
0.205264		8529.02
0.208122		8545.44
0.21102		8562.09
0.213959		8578.97
0.216938		8596.08
0.219959		8613.44
0.223022		8631.03
0.226128		8648.87
0.229277		8666.96
0.23247		8685.3
0.235707		8703.9
0.238989		8722.76
0.242317		8741.87
0.245692		8761.26
0.249113		8775.27
0.252582		8774.62
0.256099		8773.97
0.259666		8773.31
0.263282		8772.64
0.266948		8771.97
0.270665		8771.28
0.274434		8770.58
0.278256		8769.87
0.282131		8769.16
0.28606		8768.43
0.290043		8767.69
0.294082		8766.94
0.298177		8766.19
0.302329		8765.42
0.30654		8764.64
0.310808		8763.85
0.315136		8752.68
0.319525		8735.19
0.323974		8717.46
0.328486		8699.48
0.33306		8681.25
0.337698		8662.77
0.342401		8644.03
0.347169		8625.03
0.352003		8605.77
0.356905		8586.24
0.361875		8566.43
0.366914		8546.35
0.372024		8525.99
0.377204		8505.35
0.382457		8484.42
0.387783		8463.2
0.393183		8441.68
0.398658		8418.9
0.40421		8395.78
0.409838		8372.34
0.415546		8348.57
0.421332		8324.48
0.427199		8300.04
0.433148		8275.27
0.43918		8250.15
0.445296		8224.69
0.451497		8198.87
0.457784		8172.68
0.464159		8146.14
0.470622		8119.22
0.477176		8091.93
0.483821		8064.26
0.490558		8036.21
0.49739		8008.76
0.504316		7982.94
0.511339		7956.76
0.518459		7930.22
0.525679		7903.3
0.532999		7876.02
0.540422		7848.35
0.547947		7820.3
0.555578		7791.86
0.563314		7763.02
0.571159		7733.78
0.579112		7704.13
0.587177		7674.07
0.595353		7643.59
0.603644		7612.69
0.61205		7581.35
0.620573		7549.58
0.629215		7520.95
0.637977		7493.58
0.646861		7465.84
0.655869		7437.7
0.665002		7409.18
0.674262		7380.25
0.683652		7350.93
0.693172		7321.19
0.702824		7291.05
0.712612		7260.48
0.722535		7229.49
0.732597		7198.06
0.742798		7166.2
0.753142		7133.89
0.76363		7101.14
0.774264		7067.92
0.785046		7034.44
0.795978		7005.82
0.807062		6976.81
0.818301		6947.39
0.829696		6917.56
0.84125		6887.32
0.852964		6856.65
0.864842		6825.56
0.876886		6794.04
0.889097		6762.07
0.901478		6729.67
0.914031		6696.81
0.926759		6663.49
0.939665		6629.71
0.95275		6595.45
0.966017		6560.73
0.97947		6525.51
0.993109		6492.46
1.00694		6463.2
1.02096		6433.54
1.03518		6403.46
1.04959		6372.97
1.06421		6342.05
1.07903		6310.7
1.09405		6278.91
1.10929		6246.68
1.12474		6214
1.1404		6180.86
1.15628		6147.27
1.17238		6113.21
1.18871		6078.67
1.20526		6043.65
1.22204		6008.14
1.23906		5972.14
1.25632		5940.69
1.27381		5910.62
1.29155		5880.14
1.30954		5849.23
1.32777		5817.89
1.34626		5786.11
1.36501		5753.89
1.38402		5721.22
1.40329		5688.1
1.42283		5654.51
1.44264		5620.46
1.46273		5585.94
1.4831		5550.93
1.50376		5515.43
1.5247		5479.45
1.54593		5442.96
1.56746		5406.57
