SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=N
AtomicNumber=7
MassNumber=14
E [MeV/u]	dEdx [MeV/cm]
0.1		7878.75
0.101393		7926.69
0.102804		7975.31
0.104236		8024.6
0.105688		8074.57
0.107159		8125.24
0.108652		8176.62
0.110165		8228.71
0.111699		8281.53
0.113254		8335.09
0.114831		8389.39
0.11643		8444.44
0.118052		8500.27
0.119696		8556.87
0.121362		8614.26
0.123052		8672.45
0.124766		8728.19
0.126503		8771.67
0.128265		8815.76
0.130051		8860.47
0.131862		8905.8
0.133698		8951.76
0.13556		8998.35
0.137448		9045.6
0.139362		9093.51
0.141303		9142.08
0.14327		9191.33
0.145265		9241.27
0.147288		9291.9
0.149339		9343.24
0.151419		9395.29
0.153528		9448.06
0.155665		9501.57
0.157833		9545.14
0.160031		9580.69
0.16226		9616.72
0.164519		9653.26
0.16681		9690.31
0.169133		9727.87
0.171488		9765.96
0.173876		9804.58
0.176298		9843.73
0.178753		9883.43
0.181242		9923.68
0.183766		9964.5
0.186325		10005.9
0.188919		10047.8
0.19155		10090.4
0.194217		10133.5
0.196922		10177.3
0.199664		10201.6
0.202445		10224.3
0.205264		10247.2
0.208122		10270.5
0.21102		10294.1
0.213959		10318.1
0.216938		10342.4
0.219959		10367
0.223022		10391.9
0.226128		10417.2
0.229277		10442.9
0.23247		10468.9
0.235707		10495.3
0.238989		10522
0.242317		10549.1
0.245692		10576.6
0.249113		10597.9
0.252582		10600.4
0.256099		10603
0.259666		10605.6
0.263282		10608.3
0.266948		10611
0.270665		10613.7
0.274434		10616.5
0.278256		10619.3
0.282131		10622.1
0.28606		10625
0.290043		10627.9
0.294082		10630.9
0.298177		10633.9
0.302329		10636.9
0.30654		10640
0.310808		10643.1
0.315136		10633.4
0.319525		10615.2
0.323974		10596.8
0.328486		10578.1
0.33306		10559.1
0.337698		10539.9
0.342401		10520.4
0.347169		10500.7
0.352003		10480.7
0.356905		10460.4
0.361875		10439.8
0.366914		10418.9
0.372024		10397.8
0.377204		10376.3
0.382457		10354.6
0.387783		10332.5
0.393183		10310.1
0.398658		10285.3
0.40421		10260
0.409838		10234.3
0.415546		10208.3
0.421332		10181.9
0.427199		10155.2
0.433148		10128.1
0.43918		10100.6
0.445296		10072.7
0.451497		10044.5
0.457784		10015.8
0.464159		9986.79
0.470622		9957.34
0.477176		9927.48
0.483821		9897.2
0.490558		9866.5
0.49739		9836.17
0.504316		9807.16
0.511339		9777.74
0.518459		9747.91
0.525679		9717.67
0.532999		9687.01
0.540422		9655.92
0.547947		9624.39
0.555578		9592.43
0.563314		9560.03
0.571159		9527.17
0.579112		9493.85
0.587177		9460.07
0.595353		9425.82
0.603644		9391.1
0.61205		9355.88
0.620573		9320.18
0.629215		9287.62
0.637977		9256.43
0.646861		9224.81
0.655869		9192.74
0.665002		9160.23
0.674262		9127.27
0.683652		9093.84
0.693172		9059.95
0.702824		9025.59
0.712612		8990.76
0.722535		8955.43
0.732597		8919.62
0.742798		8883.3
0.753142		8846.48
0.76363		8809.15
0.774264		8771.29
0.785046		8733.02
0.795978		8700.16
0.807062		8666.83
0.818301		8633.05
0.829696		8598.79
0.84125		8564.05
0.852964		8528.84
0.864842		8493.13
0.876886		8456.92
0.889097		8420.21
0.901478		8382.99
0.914031		8345.25
0.926759		8306.98
0.939665		8268.19
0.95275		8228.85
0.966017		8188.96
0.97947		8148.52
0.993109		8110.35
1.00694		8076.54
1.02096		8042.26
1.03518		8007.5
1.04959		7972.25
1.06421		7936.51
1.07903		7900.28
1.09405		7863.54
1.10929		7826.29
1.12474		7788.52
1.1404		7750.23
1.15628		7711.4
1.17238		7672.03
1.18871		7632.12
1.20526		7591.65
1.22204		7550.61
1.23906		7509
1.25632		7472.36
1.27381		7437.38
1.29155		7401.92
1.30954		7365.97
1.32777		7329.51
1.34626		7292.54
1.36501		7255.06
1.38402		7217.06
1.40329		7178.53
1.42283		7139.46
