SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=O
AtomicNumber=8
MassNumber=16
E [MeV/u]	dEdx [MeV/cm]
0.1		8668.61
0.101393		8727.05
0.102804		8786.3
0.104236		8846.38
0.105688		8907.3
0.107159		8969.07
0.108652		9031.69
0.110165		9095.19
0.111699		9159.58
0.113254		9224.86
0.114831		9291.05
0.11643		9358.16
0.118052		9426.2
0.119696		9495.2
0.121362		9565.15
0.123052		9636.08
0.124766		9703.66
0.126503		9758.34
0.128265		9813.77
0.130051		9869.98
0.131862		9926.97
0.133698		9984.75
0.13556		10043.3
0.137448		10102.7
0.139362		10163
0.141303		10224.1
0.14327		10286
0.145265		10348.8
0.147288		10412.4
0.149339		10477
0.151419		10542.4
0.153528		10608.8
0.155665		10676
0.157833		10731.1
0.160031		10777.8
0.16226		10825.2
0.164519		10873.3
0.16681		10922
0.169133		10971.4
0.171488		11021.5
0.173876		11072.3
0.176298		11123.8
0.178753		11176
0.181242		11228.9
0.183766		11282.6
0.186325		11337
0.188919		11392.2
0.19155		11448.1
0.194217		11504.9
0.196922		11562.4
0.199664		11596
0.202445		11628.6
0.205264		11661.8
0.208122		11695.3
0.21102		11729.4
0.213959		11763.9
0.216938		11798.9
0.219959		11834.3
0.223022		11870.3
0.226128		11906.8
0.229277		11943.8
0.23247		11981.3
0.235707		12019.3
0.238989		12057.8
0.242317		12096.9
0.245692		12136.6
0.249113		12167.5
0.252582		12176.9
0.256099		12186.5
0.259666		12196.2
0.263282		12206
0.266948		12216
0.270665		12226.1
0.274434		12236.3
0.278256		12246.7
0.282131		12257.3
0.28606		12267.9
0.290043		12278.8
0.294082		12289.8
0.298177		12300.9
0.302329		12312.2
0.30654		12323.6
0.310808		12335.2
0.315136		12329.5
0.319525		12314.3
0.323974		12298.8
0.328486		12283.2
0.33306		12267.3
0.337698		12251.2
0.342401		12234.9
0.347169		12218.3
0.352003		12201.5
0.356905		12184.5
0.361875		12167.3
0.366914		12149.8
0.372024		12132
0.377204		12114.1
0.382457		12095.8
0.387783		12077.3
0.393183		12058.6
0.398658		12034.7
0.40421		12010.4
0.409838		11985.8
0.415546		11960.9
0.421332		11935.6
0.427199		11910
0.433148		11884
0.43918		11857.7
0.445296		11831
0.451497		11803.9
0.457784		11776.4
0.464159		11748.6
0.470622		11720.3
0.477176		11691.7
0.483821		11662.7
0.490558		11633.3
0.49739		11603.6
0.504316		11573.9
0.511339		11543.8
0.518459		11513.2
0.525679		11482.2
0.532999		11450.8
0.540422		11419
0.547947		11386.7
0.555578		11354
0.563314		11320.8
0.571159		11287.1
0.579112		11253
0.587177		11218.4
0.595353		11183.4
