SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=F
AtomicNumber=9
MassNumber=19
E [MeV/u]	dEdx [MeV/cm]
0.1		9133.56
0.101393		9203.93
0.102804		9275.28
0.104236		9347.62
0.105688		9420.96
0.107159		9495.33
0.108652		9570.74
0.110165		9647.19
0.111699		9724.71
0.113254		9803.31
0.114831		9883.01
0.11643		9963.81
0.118052		10045.7
0.119696		10128.8
0.121362		10213
0.123052		10298.4
0.124766		10380.7
0.126503		10448.8
0.128265		10517.9
0.130051		10588
0.131862		10659
0.133698		10731.1
0.13556		10804.1
0.137448		10878.1
0.139362		10953.2
0.141303		11029.3
0.14327		11106.5
0.145265		11184.8
0.147288		11264.1
0.149339		11344.6
0.151419		11426.1
0.153528		11508.8
0.155665		11592.7
0.157833		11663.4
0.160031		11724.4
0.16226		11786.3
0.164519		11849
0.16681		11912.6
0.169133		11977.1
0.171488		12042.5
0.173876		12108.8
0.176298		12176
0.178753		12244.2
0.181242		12313.3
0.183766		12383.4
0.186325		12454.4
0.188919		12526.5
0.19155		12599.5
0.194217		12673.6
0.196922		12748.7
0.199664		12796.5
0.202445		12842.8
0.205264		12889.7
0.208122		12937.3
0.21102		12985.5
0.213959		13034.4
0.216938		13084
0.219959		13134.3
0.223022		13185.3
0.226128		13237
0.229277		13289.5
0.23247		13342.6
0.235707		13396.5
0.238989		13451.2
0.242317		13506.6
0.245692		13562.7
0.249113		13609.2
0.252582		13629.3
0.256099		13649.6
0.259666		13670.3
0.263282		13691.2
0.266948		13712.4
0.270665		13733.9
0.274434		13755.7
0.278256		13777.8
0.282131		13800.3
0.28606		13823
0.290043		13846.1
0.294082		13869.4
0.298177		13893.1
0.302329		13917.2
0.30654		13941.5
0.310808		13966.2
0.315136		13969.8
0.319525		13960.9
0.323974		13951.9
0.328486		13942.8
0.33306		13933.5
0.337698		13924.2
0.342401		13914.6
0.347169		13905
0.352003		13895.2
0.356905		13885.3
0.361875		13875.2
0.366914		13865.1
0.372024		13854.7
0.377204		13844.2
0.382457		13833.6
0.387783		13822.8
0.393183		13811.9
0.398658		13792
0.40421		13771.7
0.409838		13751.1
0.415546		13730.2
0.421332		13709.1
0.427199		13687.6
0.433148		13665.9
0.43918		13643.8
0.445296		13621.4
0.451497		13598.7
0.457784		13575.8
0.464159		13552.4
0.470622		13528.8
0.477176		13504.8
0.483821		13480.5
0.490558		13455.9
0.49739		13429.9
0.504316		13401.6
0.511339		13372.8
0.518459		13343.7
0.525679		13314.2
0.532999		13284.3
0.540422		13253.9
0.547947		13223.1
0.555578		13191.9
0.563314		13160.3
0.571159		13128.2
0.579112		13095.7
0.587177		13062.7
0.595353		13029.3
0.603644		12995.4
0.61205		12961
0.620573		12926.1
0.629215		12892.2
0.637977		12858.4
0.646861		12824.1
0.655869		12789.3
0.665002		12754.1
0.674262		12718.3
0.683652		12682.1
0.693172		12645.4
0.702824		12608.1
0.712612		12570.4
0.722535		12532.1
0.732597		12493.3
0.742798		12453.9
0.753142		12414
0.76363		12373.5
0.774264		12332.5
0.785046		12291.1
0.795978		12253.2
0.807062		12214.8
0.818301		12175.9
0.829696		12136.4
0.84125		12096.4
0.852964		12055.8
0.864842		12014.7
0.876886		11972.9
0.889097		11930.6
0.901478		11887.8
0.914031		11844.3
0.926759		11800.2
0.939665		11755.5
0.95275		11710.2
0.966017		11664.2
0.97947		11617.6
0.993109		11573
1.00694		11532.1
1.02096		11490.6
1.03518		11448.5
1.04959		11405.8
1.06421		11362.5
1.07903		11318.6
1.09405		11274.1
1.10929		11229
1.12474		11183.2
1.1404		11136.8
1.15628		11089.8
1.17238		11042.1
1.18871		10993.8
1.20526		10944.8
1.22204		10895
1.23906		10844.6
1.25632		10799.3
1.27381		10755.4
1.29155		10710.8
1.30954		10665.6
1.32777		10619.8
1.34626		10573.4
1.36501		10526.3
1.38402		10478.6
1.40329		10430.2
1.42283		10381.1
1.44264		10331.3
1.46273		10280.9
1.4831		10229.7
1.50376		10177.8
1.5247		10125.2
1.54593		10071.9
1.56746		10018.6
1.58928		9972.81
1.61141		9926.35
1.63385		9879.24
1.65661		9831.47
1.67967		9783.04
1.70307		9733.93
1.72678		9684.14
1.75083		9633.65
1.77521		9582.47
1.79993		9530.56
1.82499		9477.94
1.85041		9424.59
1.87617		9370.49
1.9023		9315.63
1.92879		9260.02
1.95565		9203.63
1.98288		9151.18
2.0105		9250.04
2.03849		9189.67
2.06688		9129.3
2.09566		9068.93
2.12485		9008.6
2.15443		8948.36
2.18444		8888.23
2.21486		8828.24
2.2457		8768.44
2.27697		8708.84
2.30868		8649.48
2.34083		8590.37
2.37342		8531.55
2.40648		8473.02
2.43999		8414.81
2.47396		8356.91
2.50842		8299.35
2.54335		8242.11
2.57876		8185.2
2.61467		8129.3
2.65108		8073.71
2.688		8018.35
2.72543		7963.19
2.76339		7908.2
2.80187		7853.34
2.84088		7798.55
2.88044		7743.77
2.92056		7688.93
2.96123		7633.95
3.00246		7579.38
3.04427		7524.98
3.08666		7470.37
3.12965		7415.58
3.17323		7360.64
3.21742		7305.58
3.26222		7250.43
3.30765		7195.22
3.35371		7139.99
3.40041		7084.75
3.44776		7029.54
3.49578		6974.38
3.54446		6919.31
3.59381		6864.34
3.64386		6809.5
3.6946		6754.82
3.74605		6700.31
3.79822		6645.99
3.85111		6591.89
3.90474		6538.02
3.95911		6484.39
4.01424		6430.86
4.07014		6377.45
4.12682		6324.21
4.18429		6271.29
4.24256		6218.69
4.30164		6166.42
4.36154		6114.5
4.42227		6062.92
4.48386		6011.67
4.5463		5960.77
4.6096		5910.2
4.6738		5859.94
4.73888		5809.98
4.80487		5760.3
4.87178		5710.88
4.93962		5661.66
5.00841		5612.63
5.07815		5563.76
5.14887		5515.08
5.22057		5466.61
5.29327		5418.35
5.36698		5370.33
5.44171		5322.54
5.51749		5275
5.59433		5227.7
5.67223		5180.66
5.75122		5133.88
5.83131		5087.34
5.91251		5041.05
5.99484		4994.94
6.07832		4949.02
6.16297		4903.35
6.24879		4857.95
6.3358		4812.83
6.42403		4768.02
6.51349		4723.51
6.60419		4679.32
6.69616		4635.46
6.78941		4591.93
6.88395		4548.74
6.97981		4505.89
7.07701		4463.38
7.17556		4421.21
7.27548		4379.42
7.3768		4338.01
7.47952		4296.9
7.58368		4256.06
7.68928		4215.5
7.79636		4175.17
7.90493		4135.05
8.01501		4095.37
8.12662		4055.99
8.23979		4016.83
8.35453		3977.88
8.47087		3939.14
8.58883		3900.63
8.70843		3862.35
8.8297		3824.31
8.95266		3786.52
9.07733		3748.99
9.20373		3711.71
9.3319		3674.69
9.46185		3637.93
9.59361		3601.42
9.7272		3565.17
9.86266		3529.16
10		3493.26
10.1393		3457.49
10.2804		3421.97
10.4236		3386.71
10.5688		3351.72
10.7159		3317.03
10.8652		3282.65
11.0165		3248.57
11.1699		3214.83
11.3254		3181.41
11.4831		3148.35
11.643		3115.63
11.8052		3083.27
11.9696		3051.27
12.1362		3019.64
12.3052		2988.37
12.4766		2957.47
12.6503		2926.94
12.8265		2896.76
13.0051		2866.94
13.1862		2837.46
13.3698		2808.32
13.556		2779.5
13.7448		2750.99
13.9362		2722.75
14.1303		2694.78
14.327		2667.04
14.5265		2639.51
14.7288		2612.14
14.9339		2585.03
15.1419		2558.45
15.3528		2531.99
15.5665		2505.66
15.7833		2479.46
16.0031		2453.4
16.226		2427.5
16.4519		2401.76
16.681		2376.2
16.9133		2350.81
17.1488		2325.61
17.3876		2300.6
17.6298		2275.78
17.8753		2251.17
18.1242		2226.76
18.3766		2202.56
18.6325		2178.57
18.8919		2154.8
19.155		2131.25
19.4217		2107.92
19.6922		2084.8
19.9664		2061.82
20.2445		2038.96
20.5264		2016.32
20.8122		1993.91
21.102		1971.74
21.3959		1949.81
21.6938		1928.13
21.9959		1906.71
22.3022		1885.55
22.6128		1864.65
22.9277		1844.03
23.247		1823.68
23.5707		1803.61
23.8989		1783.81
24.2317		1764.28
24.5692		1745.03
24.9113		1726.06
25.2582		1707.36
25.6099		1688.93
25.9666		1670.77
26.3282		1652.86
26.6948		1635.19
27.0665		1617.77
27.4434		1600.57
27.8256		1583.57
28.2131		1566.77
28.606		1550.15
29.0043		1533.68
29.4082		1517.33
29.8177		1501.12
30.2329		1485.23
30.654		1469.42
31.0808		1453.7
31.5136		1438.08
31.9525		1422.56
32.3974		1407.15
32.8486		1391.85
33.306		1376.67
33.7698		1361.62
34.2401		1346.69
34.7169		1331.89
35.2003		1317.23
35.6905		1302.71
36.1875		1288.33
36.6914		1274.1
37.2024		1260.02
37.7204		1246.09
38.2457		1232.32
38.7783		1218.71
39.3183		1205.25
39.8658		1191.95
40.421		1178.79
40.9838		1165.78
41.5546		1152.95
42.1332		1140.28
42.7199		1127.78
43.3148		1115.44
43.918		1103.27
44.5296		1091.26
45.1497		1079.42
45.7784		1067.73
46.4159		1056.19
47.0622		1044.79
47.7176		1033.54
48.3821		1022.42
49.0558		1011.42
49.739		1000.53
50.4316		989.749
51.1339		979.069
51.8459		968.496
52.5679		958.032
53.2999		947.677
54.0422		937.433
54.7947		927.299
55.5578		917.278
56.3314		907.367
57.1159		897.567
57.9112		887.878
58.7177		878.296
59.5353		868.821
60.3644		859.431
61.205		850.146
62.0573		840.968
62.9215		831.899
63.7977		822.941
64.6861		814.094
65.5869		805.359
66.5002		796.737
67.4262		788.229
68.3652		779.833
69.3172		771.549
70.2824		763.377
71.2612		755.314
72.2535		747.359
73.2597		739.508
74.2798		731.759
75.3142		724.106
76.363		716.546
77.4264		709.073
78.5046		701.68
79.5978		694.372
80.7062		687.189
81.8301		680.075
82.9696		673.031
84.125		666.059
85.2964		659.159
86.4842		652.333
87.6886		645.58
88.9097		638.901
90.1478		632.296
91.4031		625.765
92.6759		619.307
93.9665		612.922
95.275		606.608
96.6017		600.364
97.947		594.188
99.3109		588.076
100.694		581.993
102.096		575.975
103.518		570.024
104.959		564.141
106.421		558.328
107.903		552.588
109.405		546.92
110.929		541.328
112.474		535.811
114.04		530.371
115.628		525.008
117.238		519.724
118.871		514.519
120.526		509.393
122.204		504.345
123.906		499.376
125.632		494.484
127.381		489.67
129.155		484.931
130.954		480.265
132.777		475.671
134.626		471.146
136.501		466.686
138.402		462.289
140.329		457.95
142.283		453.664
144.264		449.426
146.273		445.231
148.31		441.072
150.376		437.005
152.47		432.992
154.593		429.008
156.746		425.055
158.928		421.134
161.141		417.246
163.385		413.392
165.661		409.573
167.967		405.79
170.307		402.045
172.678		398.336
175.083		394.667
177.521		391.036
179.993		387.445
182.499		383.895
185.041		380.385
187.617		376.916
190.23		373.488
192.879		370.101
195.565		366.755
198.288		363.45
201.05		360.16
203.849		356.91
206.688		353.701
209.566		350.534
212.485		347.412
215.443		344.333
218.444		341.299
221.486		338.311
224.57		335.369
