SourceProgram=geant4_11_3_0
Target=WATER_LIQUID
IonizationPotential=78.0
Ion=Ne
AtomicNumber=10
MassNumber=20
E [MeV/u]	dEdx [MeV/cm]
0.1		9751.1
0.101393		9837.98
0.102804		9926.07
0.104236		10015.4
0.105688		10106
0.107159		10197.8
0.108652		10290.9
0.110165		10385.3
0.111699		10481
0.113254		10578.1
0.114831		10676.5
0.11643		10776.2
0.118052		10877.4
0.119696		10980
0.121362		11084
0.123052		11189.4
0.124766		11291.1
0.126503		11377.8
0.128265		11465.7
0.130051		11554.8
0.131862		11645.2
0.133698		11736.8
0.13556		11829.7
0.137448		11923.9
0.139362		12019.4
0.141303		12116.2
0.14327		12214.4
0.145265		12314
0.147288		12414.9
0.149339		12517.3
0.151419		12621
0.153528		12726.2
0.155665		12832.9
0.157833		12923.9
0.160031		13004.4
0.16226		13086
0.164519		13168.8
0.16681		13252.7
0.169133		13337.8
0.171488		13424
0.173876		13511.5
0.176298		13600.2
0.178753		13690.1
0.181242		13781.3
0.183766		13873.7
0.186325		13967.5
0.188919		14062.5
0.19155		14158.9
0.194217		14256.6
0.196922		14355.7
0.199664		14421.2
0.202445		14485.9
0.205264		14551.4
0.208122		14617.9
0.21102		14685.3
0.213959		14753.6
0.216938		14822.9
0.219959		14893.1
0.223022		14964.3
0.226128		15036.5
0.229277		15109.8
0.23247		15184
0.235707		15259.3
0.238989		15335.6
0.242317		15413
0.245692		15491.4
0.249113		15557
0.252582		15591.1
0.256099		15625.6
0.259666		15660.7
0.263282		15696.2
0.266948		15732.2
0.270665		15768.7
0.274434		15805.8
0.278256		15843.3
0.282131		15881.4
0.28606		15920
0.290043		15959.1
0.294082		15998.8
0.298177		16039
0.302329		16079.8
0.30654		16121.2
0.310808		16163.1
0.315136		16177.1
0.319525		16176.1
0.323974		16175.1
0.328486		16174.1
0.33306		16173.1
0.337698		16172.1
0.342401		16171
0.347169		16170
0.352003		16168.9
0.356905		16167.8
0.361875		16166.7
0.366914		16165.6
0.372024		16164.4
0.377204		16163.3
0.382457		16162.1
0.387783		16160.9
0.393183		16159.6
0.398658		16143.9
0.40421		16128
0.409838		16111.9
0.415546		16095.5
0.421332		16078.9
0.427199		16062.1
0.433148		16045
0.43918		16027.7
0.445296		16010.2
0.451497		15992.4
0.457784		15974.4
0.464159		15956.1
0.470622		15937.5
0.477176		15918.7
0.483821		15899.7
0.490558		15880.4
0.49739		15858
0.504316		15830.4
0.511339		15802.4
0.518459		15774.1
0.525679		15745.3
0.532999		15716.1
0.540422		15686.6
0.547947		15656.6
0.555578		15626.2
0.563314		15595.3
0.571159		15564.1
0.579112		15532.4
0.587177		15500.3
0.595353		15467.7
0.603644		15434.7
0.61205		15401.2
0.620573		15367.2
0.629215		15332
0.637977		15296.1
0.646861		15259.7
0.655869		15222.7
0.665002		15185.3
0.674262		15147.3
0.683652		15108.8
0.693172		15069.7
0.702824		15030.1
0.712612		14990
0.722535		14949.3
0.732597		14908
0.742798		14866.1
0.753142		14823.7
0.76363		14780.7
0.774264		14737.1
0.785046		14693
0.795978		14651
0.807062		14608.3
0.818301		14565
0.829696		14521.2
0.84125		14476.7
0.852964		14431.6
0.864842		14385.9
0.876886		14339.6
0.889097		14292.6
0.901478		14244.9
0.914031		14196.6
0.926759		14147.7
0.939665		14098
0.95275		14047.6
0.966017		13996.6
0.97947		13944.8
0.993109		13894.9
1.00694		13847.9
1.02096		13800.3
1.03518		13752
1.04959		13703
1.06421		13653.3
1.07903		13603
1.09405		13552
1.10929		13500.2
1.12474		13447.7
1.1404		13394.5
1.15628		13340.6
1.17238		13285.9
1.18871		13230.4
1.20526		13174.2
1.22204		13117.2
1.23906		13059.4
1.25632		13006.8
1.27381		12955.4
1.29155		12903.3
1.30954		12850.5
1.32777		12796.9
1.34626		12742.6
1.36501		12687.6
1.38402		12631.7
1.40329		12575.1
1.42283		12517.7
1.44264		12459.5
1.46273		12400.5
1.4831		12340.6
1.50376		12280
1.5247		12218.5
1.54593		12156.1
1.56746		12094
1.58928		12039.8
1.61141		11984.8
1.63385		11929.1
1.65661		11872.6
1.67967		11815.3
1.70307		11757.2
1.72678		11698.3
1.75083		11638.6
1.77521		11578.1
1.79993		11516.7
1.82499		11454.4
1.85041		11391.3
1.87617		11327.3
1.9023		11262.4
1.92879		11196.7
1.95565		11130
1.98288		11068
2.0105		10868.3
2.03849		10801.1
2.06688		10733.8
2.09566		10666.5
2.12485		10599.2
2.15443		10532
2.18444		10464.8
2.21486		10397.8
2.2457		10330.9
2.27697		10264.2
2.30868		10197.8
2.34083		10131.6
2.37342		10065.7
2.40648		10000.1
2.43999		9934.86
2.47396		9869.93
2.50842		9805.34
2.54335		9741.1
2.57876		9677.2
2.61467		9614.55
2.65108		9552.2
2.688		9490.08
2.72543		9428.15
2.76339		9366.37
2.80187		9304.68
2.84088		9243.04
2.88044		9181.35
2.92056		9119.54
2.96123		9057.51
3.00246		8995.94
3.04427		8934.5
3.08666		8872.76
3.12965		8810.76
3.17323		8748.53
3.21742		8686.11
3.26222		8623.53
3.30765		8560.83
3.35371		8498.05
3.40041		8435.22
3.44776		8372.37
3.49578		8309.53
3.54446		8246.74
3.59381		8184.03
3.64386		8121.42
3.6946		8058.95
3.74605		7996.64
3.79822		7934.51
3.85111		7872.58
3.90474		7810.88
3.95911		7749.42
4.01424		7688.02
4.07014		7626.7
4.12682		7565.53
4.18429		7504.69
4.24256		7444.19
4.30164		7384.05
4.36154		7324.27
4.42227		7264.85
4.48386		7205.79
4.5463		7147.09
4.6096		7088.74
4.6738		7030.73
4.73888		6973.02
4.80487		6915.61
4.87178		6858.45
4.93962		6801.51
5.00841		6744.72
5.07815		6688.1
5.14887		6631.66
5.22057		6575.42
5.29327		6519.4
5.36698		6463.61
5.44171		6408.07
5.51749		6352.77
5.59433		6297.74
5.67223		6242.96
5.75122		6188.45
5.83131		6134.19
5.91251		6080.19
5.99484		6026.37
6.07832		5972.72
6.16297		5919.34
6.24879		5866.24
6.3358		5813.45
6.42403		5760.98
6.51349		5708.84
6.60419		5657.04
6.69616		5605.61
6.78941		5554.54
6.88395		5503.83
6.97981		5453.5
7.07701		5403.55
7.17556		5353.96
7.27548		5304.82
7.3768		5256.09
7.47952		5207.69
7.58368		5159.59
7.68928		5111.77
7.79636		5064.21
7.90493		5016.86
8.01501		4970.02
8.12662		4923.5
8.23979		4877.22
8.35453		4831.15
8.47087		4785.31
8.58883		4739.71
8.70843		4694.37
8.8297		4649.28
8.95266		4604.46
9.07733		4559.91
9.20373		4515.65
9.3319		4471.67
9.46185		4427.97
9.59361		4384.55
9.7272		4341.41
9.86266		4298.53
10		4255.76
10.1393		4213.12
10.2804		4170.75
10.4236		4128.67
10.5688		4086.9
10.7159		4045.47
10.8652		4004.37
11.0165		3963.63
11.1699		3923.27
11.3254		3883.29
11.4831		3843.7
11.643		3804.52
11.8052		3765.75
11.9696		3727.39
12.1362		3689.46
12.3052		3651.96
12.4766		3614.88
12.6503		3578.23
12.8265		3541.99
13.0051		3506.17
13.1862		3470.74
13.3698		3435.71
13.556		3401.05
13.7448		3366.73
13.9362		3332.75
14.1303		3299.06
14.327		3265.65
14.5265		3232.46
14.7288		3199.45
14.9339		3166.76
15.1419		3134.69
15.3528		3102.75
15.5665		3070.94
15.7833		3039.29
16.0031		3007.79
16.226		2976.47
16.4519		2945.33
16.681		2914.39
16.9133		2883.65
17.1488		2853.13
17.3876		2822.83
17.6298		2792.75
17.8753		2762.9
18.1242		2733.29
18.3766		2703.93
18.6325		2674.81
18.8919		2645.96
19.155		2617.36
19.4217		2589.01
19.6922		2560.92
19.9664		2532.97
20.2445		2505.17
20.5264		2477.63
20.8122		2450.35
21.102		2423.36
21.3959		2396.66
21.6938		2370.26
21.9959		2344.16
22.3022		2318.38
22.6128		2292.91
22.9277		2267.77
23.247		2242.96
23.5707		2218.48
23.8989		2194.32
24.2317		2170.5
24.5692		2147.01
24.9113		2123.86
25.2582		2101.03
25.6099		2078.52
25.9666		2056.34
26.3282		2034.46
26.6948		2012.88
27.0665		1991.58
27.4434		1970.55
27.8256		1949.78
28.2131		1929.24
28.606		1908.9
29.0043		1888.75
29.4082		1868.75
29.8177		1848.92
30.2329		1829.46
30.654		1810.1
31.0808		1790.85
31.5136		1771.71
31.9525		1752.7
32.3974		1733.82
32.8486		1715.07
33.306		1696.46
33.7698		1678
34.2401		1659.69
34.7169		1641.54
35.2003		1623.56
35.6905		1605.74
36.1875		1588.09
36.6914		1570.62
37.2024		1553.34
37.7204		1536.24
38.2457		1519.32
38.7783		1502.6
39.3183		1486.08
39.8658		1469.73
40.421		1453.55
40.9838		1437.57
41.5546		1421.79
42.1332		1406.21
42.7199		1390.84
43.3148		1375.67
43.918		1360.7
44.5296		1345.94
45.1497		1331.36
45.7784		1316.98
46.4159		1302.78
47.0622		1288.76
47.7176		1274.92
48.3821		1261.23
49.0558		1247.69
49.739		1234.29
50.4316		1221.02
51.1339		1207.87
51.8459		1194.86
52.5679		1181.97
53.2999		1169.22
54.0422		1156.61
54.7947		1144.13
55.5578		1131.79
56.3314		1119.59
57.1159		1107.52
57.9112		1095.58
58.7177		1083.78
59.5353		1072.1
60.3644		1060.53
61.205		1049.09
62.0573		1037.78
62.9215		1026.61
63.7977		1015.56
64.6861		1004.66
65.5869		993.892
66.5002		983.263
67.4262		972.773
68.3652		962.421
69.3172		952.207
70.2824		942.13
71.2612		932.187
72.2535		922.376
73.2597		912.694
74.2798		903.137
75.3142		893.699
76.363		884.374
77.4264		875.156
78.5046		866.037
79.5978		857.026
80.7062		848.165
81.8301		839.389
82.9696		830.701
84.125		822.101
85.2964		813.59
86.4842		805.17
87.6886		796.84
88.9097		788.601
90.1478		780.454
91.4031		772.397
92.6759		764.431
93.9665		756.554
95.275		748.764
96.6017		741.061
97.947		733.442
99.3109		725.901
100.694		718.396
102.096		710.971
103.518		703.629
104.959		696.37
106.421		689.199
107.903		682.116
109.405		675.123
110.929		668.222
112.474		661.415
114.04		654.703
115.628		648.087
117.238		641.568
118.871		635.145
120.526		628.82
122.204		622.592
123.906		616.461
125.632		610.426
127.381		604.485
129.155		598.638
130.954		592.882
132.777		587.214
134.626		581.631
136.501		576.128
138.402		570.703
140.329		565.349
142.283		560.061
144.264		554.832
146.273		549.655
148.31		544.522
150.376		539.507
152.47		534.554
154.593		529.638
156.746		524.76
158.928		519.922
161.141		515.125
163.385		510.369
165.661		505.657
167.967		500.989
170.307		496.367
172.678		491.791
175.083		487.263
177.521		482.783
179.993		478.353
182.499		473.972
185.041		469.642
187.617		465.362
190.23		461.132
192.879		456.954
195.565		452.825
198.288		448.747
201.05		444.689
203.849		440.679
206.688		436.72
209.566		432.814
212.485		428.962
215.443		425.165
218.444		421.423
221.486		417.737
224.57		414.109
227.697		410.537
230.868		407.024
234.083		403.568
237.342		400.17
240.648		396.83
243.999		393.547
247.396		390.322
250.842		387.152
254.335		384.038
257.876		380.978
261.467		377.97
265.108		375.013
268.8		372.104
272.543		369.242
276.339		366.424
280.187		363.646
284.088		360.906
288.044		358.199
292.056		355.521
296.123		352.867
300.246		350.262
304.427		347.692
308.666		345.141
312.965		342.61
317.323		340.1
321.742		337.612
326.222		335.148
330.765		332.707
335.371		330.291
340.041		327.902
344.776		325.538
349.578		323.203
354.446		320.896
359.381		318.618
364.386		316.369
369.46		314.151
374.605		311.964
379.822		309.809
385.111		307.686
390.474		305.596
395.911		303.538
401.424		301.509
407.014		299.511
412.682		297.548
418.429		295.617
424.256		293.72
430.164		291.857
436.154		290.026
442.227		288.227
448.386		286.46
454.63		284.723
460.96		283.017
467.38		281.34
473.888		279.69
480.487		278.067
487.178		276.467
493.962		274.891
500.841		273.334
507.815		271.798
514.887		270.281
522.057		268.786
529.327		267.311
536.698		265.857
544.171		264.425
551.749		263.015
559.433		261.626
567.223		260.26
575.122		258.914
583.131		257.591
591.251		256.288
599.484		255.005
607.832		253.741
616.297		252.499
624.879		251.278
633.58		250.078
642.403		248.9
651.349		247.745
660.419		246.611
669.616		245.499
678.941		244.408
688.395		243.34
697.981		242.293
707.701		241.267
717.556		240.261
727.548		239.276
737.68		238.311
747.952		237.365
758.368		236.437
768.928		235.526
779.636		234.631
790.493		233.752
801.501		232.894
812.662		232.053
823.979		231.226
835.453		230.412
847.087		229.613
858.883		228.827
870.843		228.056
882.97		227.299
895.266		226.555
907.733		225.826
920.373		225.11
933.19		224.407
946.185		223.718
959.361		223.041
972.72		222.376
986.266		221.723
1000		221.078
